condition_id,condition_name,what_to_do,what_to_avoid,diet_recommendation,food_to_limit,home_care,monitoring_advice
D0014,Leptospirosis,Complete prescribed antibiotics and rest.,Avoid wading in flood water or contaminated water sources.,"Light, nutritious diet and adequate fluids.",No specific restriction.,Avoid exposure to potentially contaminated water; use protective gear if unavoidable.,Watch for jaundice or reduced urine output and seek care promptly if these occur.
D0015,Rabies,Seek immediate medical care after any animal bite for wound care and vaccination.,Do not delay post-exposure treatment.,Balanced diet during recovery.,No specific restriction.,Clean any bite wound thoroughly with soap and water immediately.,Complete the full vaccination schedule as advised.
D0016,COVID-19,"Rest, isolate as advised, and stay hydrated.",Avoid close contact with others while symptomatic.,"Warm fluids, nutritious light meals, vitamin C-rich fruits.",No specific restriction beyond general healthy eating.,Monitor oxygen levels if advised; rest in a well-ventilated room.,"Seek urgent care if breathlessness, chest pain, or low oxygen levels develop."
D0017,Seasonal Influenza,"Rest, stay hydrated, and use fever-reducing medication as needed.",Avoid close contact with others while symptomatic.,"Warm fluids, light meals.",No specific restriction.,Rest in a well-ventilated room; practice good hygiene.,Seek care if breathing difficulty or high fever persists beyond a few days.
D0018,Pneumonia,"Complete prescribed antibiotics if bacterial, and rest.",Avoid smoking and exposure to air pollution during recovery.,"Nutritious, easily digestible food and adequate fluids.",No specific restriction.,Practice breathing exercises as advised; monitor oxygen levels if available.,Seek urgent care if breathlessness worsens or fever persists.
D0019,Measles,"Rest, stay hydrated, and manage fever with medication as advised.","Avoid contact with unvaccinated individuals, especially infants and pregnant women.","Soft, nutritious food and fluids.",No specific restriction.,Isolate until no longer contagious; maintain good hygiene.,"Watch for ear infection, breathing difficulty, or persistent high fever."
D0020,Chickenpox,Rest and manage itching with advice from a doctor.,Avoid scratching lesions to prevent scarring and secondary infection.,"Light, nutritious food and fluids.",No specific restriction.,Keep nails trimmed to avoid skin damage from scratching; isolate until lesions crust over.,Monitor for signs of skin infection or high fever.
D0021,Mumps,Rest and use pain relief as advised for swelling discomfort.,Avoid sour or acidic foods that may increase salivary gland discomfort.,"Soft, non-acidic food.",Sour and acidic foods.,Apply warm or cold compress to swollen glands as comfortable.,Watch for testicular pain or severe headache and seek care if these occur.
D0022,HIV/AIDS,Take antiretroviral therapy consistently as prescribed.,Avoid missing doses and avoid unprotected exposure practices.,"Balanced, nutrient-rich diet to support immune function.",No specific restriction beyond general healthy eating.,Maintain regular follow-up and adherence support.,Regular monitoring of viral load and immune cell counts as advised.
D0023,Scrub Typhus,Complete prescribed antibiotic treatment fully.,Avoid areas with dense vegetation and mite exposure during recovery.,"Nutritious, easily digestible diet.",No specific restriction.,Use protective clothing and repellents in endemic areas.,Monitor fever response to treatment; seek care if it does not improve.
D0024,Urinary Tract Infection (UTI),Complete prescribed antibiotics and drink plenty of water.,Avoid holding urine for long periods.,"Increased water intake, cranberry juice if tolerated.",Excess caffeine and sugary drinks.,Maintain good personal hygiene.,"Seek care if fever, back pain, or blood in urine develops."
D0025,Food Poisoning,Stay hydrated with ORS and rest the digestive system.,"Avoid solid, spicy, or oily food until symptoms settle.","Bland food like rice, banana, toast once tolerated.","Spicy, oily, and dairy-heavy food.",Practice food safety and hand hygiene.,Seek care if symptoms persist beyond 2 days or dehydration signs appear.
D0026,Intestinal Worm Infestation,Take prescribed deworming medication as advised.,Avoid walking barefoot on contaminated soil and eating unwashed produce.,"Balanced, fiber-rich diet.",No specific restriction.,"Maintain hand hygiene, especially before eating.",Repeat deworming as advised by the doctor for the household if recommended.
D0027,Fungal Skin Infection (Ringworm),Apply prescribed antifungal medication consistently and keep the area dry.,Avoid sharing towels or clothing with others.,Balanced diet; no specific dietary link.,No specific restriction.,Keep skin clean and dry; wash affected clothing separately.,Monitor for spread or lack of improvement after a week of treatment.
D0028,Scabies,Apply prescribed treatment to the entire body as directed and treat close contacts.,Avoid sharing bedding or clothing during treatment.,Balanced diet; no specific dietary link.,No specific restriction.,Wash all bedding and clothing in hot water.,"Monitor for persistent itching after treatment, which can be normal for a few weeks."
D0029,Type 2 Diabetes Mellitus,Take medications as prescribed and monitor blood sugar regularly.,Avoid skipping meals and avoid excess refined sugar and carbohydrates.,"High-fiber vegetables, whole grains, lean protein.","Sugary foods, refined carbohydrates, sugary drinks.",Regular physical activity and foot care to prevent complications.,Monitor blood sugar and HbA1c regularly as advised by the doctor.
D0030,Type 1 Diabetes Mellitus,Take insulin as prescribed and monitor blood sugar closely.,Avoid skipping insulin doses.,Balanced meals with consistent carbohydrate counting as advised.,Sugary foods and drinks unless treating low blood sugar.,Carry fast-acting sugar in case of hypoglycemia.,Monitor blood sugar multiple times daily as advised.
D0031,Hypertension (High Blood Pressure),Take prescribed medication consistently and monitor blood pressure.,Avoid excess salt and smoking.,"Fruits, vegetables, whole grains, low-sodium diet.","Excess salt, processed food, alcohol.",Regular physical activity and stress management.,Monitor blood pressure regularly at home and during checkups.
D0032,Coronary Artery Disease,Follow prescribed medication and lifestyle changes closely.,Avoid smoking and high-fat foods.,Heart-healthy diet low in saturated fat.,"Fried food, excess salt, trans fats.","Gradual, doctor-approved physical activity.",Regular cardiac follow-up and monitoring of cholesterol levels.
D0033,Heart Attack (Myocardial Infarction),Follow the cardiac rehabilitation and medication plan strictly after hospital care.,"Avoid smoking, excess exertion, and skipping medications.","Heart-healthy, low-fat, low-sodium diet.",Fried and processed food.,"Gradual, supervised physical activity as advised.",Regular cardiology follow-up and monitoring.
D0034,Stroke,Follow the rehabilitation plan and medication regimen closely.,Avoid smoking and uncontrolled blood pressure.,"Heart-healthy, low-sodium diet.",Excess salt and processed food.,Engage in physiotherapy as recommended.,Regular follow-up to monitor blood pressure and recovery progress.
D0035,Chronic Kidney Disease,Follow the prescribed treatment plan and dietary restrictions closely.,"Avoid excess protein, salt, and over-the-counter painkillers unless approved.",Kidney-friendly diet as guided by a dietitian.,"Excess salt, potassium, and phosphorus as advised.",Monitor fluid intake as advised by the doctor.,Regular kidney function tests as advised.
D0036,Obesity,"Adopt gradual, sustainable dietary and activity changes.",Avoid crash diets and sedentary habits.,"Balanced, portion-controlled diet rich in vegetables and lean protein.","Sugary drinks, fried food, processed snacks.",Regular physical activity suited to fitness level.,Track weight trends gradually rather than daily fluctuations.
D0037,Chronic Obstructive Pulmonary Disease (COPD),Follow prescribed inhaler therapy and avoid triggers.,Avoid smoking and exposure to air pollution or smoke.,"Balanced, nutritious diet to maintain strength.",No specific restriction.,Practice breathing exercises as advised.,Monitor breathlessness trends and seek care during flare-ups.
D0038,Bronchial Asthma,Use prescribed inhalers as directed and identify personal triggers.,"Avoid known triggers like smoke, dust, and allergens.",Balanced diet; no specific dietary link.,No specific restriction.,Keep rescue inhaler accessible at all times.,Track symptom frequency and inhaler use; review with a doctor if increasing.
D0039,Hypothyroidism,"Take prescribed thyroid medication consistently, usually on an empty stomach.",Avoid taking thyroid medication with calcium or iron supplements at the same time.,Balanced diet; ensure adequate iodine intake.,No specific restriction.,Maintain regular medication timing.,Periodic thyroid function tests as advised.
D0040,Hyperthyroidism,Follow prescribed treatment closely and attend regular follow-ups.,Avoid excess iodine intake unless advised.,"Balanced, nutritious diet.","Excess caffeine, which can worsen symptoms like palpitations.",Monitor heart rate and weight changes.,Periodic thyroid function tests as advised.
D0041,Osteoarthritis,Engage in low-impact exercise and maintain a healthy weight.,Avoid high-impact activities that strain affected joints.,"Anti-inflammatory foods, adequate calcium and vitamin D.",Excess sugar and processed food that promote inflammation.,Use joint protection techniques and supportive footwear.,Monitor joint pain and mobility changes over time.
D0042,Rheumatoid Arthritis,Take prescribed medication consistently and stay active within comfort.,"Avoid smoking, which can worsen disease activity.",Anti-inflammatory diet with omega-3 rich foods.,Processed food and excess sugar.,Gentle joint exercises as advised by a physiotherapist.,Regular follow-up to monitor disease activity and medication effects.
D0043,Gout,Take prescribed medication during flares and stay hydrated.,Avoid alcohol and purine-rich foods like red meat and organ meat.,"Low-purine diet, plenty of water.","Red meat, organ meat, alcohol, sugary drinks.",Rest and elevate the affected joint during flares.,Monitor uric acid levels periodically as advised.
D0044,Osteoporosis,Take prescribed calcium/vitamin D or other medication as advised.,"Avoid smoking, excess alcohol, and falls risk at home.",Calcium and vitamin D-rich foods.,Excess caffeine and alcohol.,Weight-bearing exercise as advised; fall-proof the home.,Periodic bone density monitoring as advised.
D0045,Fatty Liver Disease,Focus on gradual weight loss and regular physical activity.,"Avoid alcohol and high-fat, high-sugar food.",Balanced diet rich in vegetables and whole grains.,"Fried food, sugary drinks, alcohol.",Regular exercise to support liver health.,Periodic liver function monitoring as advised.
D0046,Peptic Ulcer Disease,Complete prescribed medication course fully.,"Avoid NSAIDs, alcohol, and smoking.","Small, frequent, non-spicy meals.","Spicy food, alcohol, caffeine.","Manage stress, which can worsen symptoms.","Watch for black stools or severe pain, which need urgent evaluation."
D0047,Gastroesophageal Reflux Disease (GERD),Eat smaller meals and avoid lying down right after eating.,Avoid trigger foods and eating close to bedtime.,"Smaller, non-spicy meals.","Spicy, fatty, and acidic food, caffeine, alcohol.",Elevate the head while sleeping if symptoms occur at night.,Monitor symptom frequency and response to lifestyle changes.
D0048,Irritable Bowel Syndrome (IBS),Identify and manage personal food and stress triggers.,Avoid known trigger foods and excess caffeine.,"High-fiber diet as tolerated, adequate fluids.",Trigger foods vary by individual; common ones include dairy and high-fat food.,Manage stress through relaxation techniques.,Track symptom patterns in relation to diet and stress.
D0049,Migraine Disorder,Identify and avoid personal triggers; use prescribed medication as advised.,"Avoid known triggers like certain foods, stress, or lack of sleep.",Regular meals; stay hydrated.,"Common triggers include caffeine, alcohol, and processed food, though this varies by person.","Rest in a quiet, dark room during an attack.",Track headache frequency and triggers to discuss with a doctor.
D0050,Epilepsy,Take prescribed anti-seizure medication consistently.,"Avoid missing doses, sleep deprivation, and known personal triggers.","Balanced, regular diet.","Alcohol, which can trigger seizures.",Ensure a safe environment; inform close contacts about seizure first aid.,Regular follow-up to monitor seizure frequency and medication levels.
D0051,Iron-Deficiency Anemia,Take prescribed iron supplements consistently.,"Avoid tea or coffee immediately with iron-rich meals, as they reduce absorption.","Iron-rich foods like leafy greens, legumes, and vitamin C-rich fruits.",Excess tea/coffee with meals.,Pair iron-rich food with vitamin C to improve absorption.,Follow up hemoglobin levels as advised.
D0052,Vitamin D Deficiency,Take prescribed supplements and get safe sun exposure.,Avoid prolonged indoor confinement without sun exposure.,"Fortified foods, fatty fish if applicable.",No specific restriction.,Aim for brief regular sun exposure as advised.,Follow up vitamin D levels as advised.
D0053,Vitamin B12 Deficiency,Take prescribed supplements as advised.,Avoid prolonged strict vegetarian diets without supplementation if deficient.,"B12-rich foods like dairy and eggs, or fortified foods for vegetarians.",No specific restriction.,Monitor for numbness or tingling improvement.,Follow up B12 levels as advised.
D0054,Iodine Deficiency (Goiter),Use iodized salt consistently.,Avoid excess raw cruciferous vegetables in very large amounts if deficient.,"Iodine-rich foods, iodized salt.",No specific restriction.,Monitor neck swelling over time.,Follow up thyroid function as advised.
D0055,Protein-Energy Malnutrition,Follow a structured nutritional rehabilitation plan as advised.,Avoid delaying nutritional intervention.,Protein and calorie-dense foods as guided by a health worker.,No specific restriction.,Regular growth monitoring for children.,Track weight and height gain over time.
D0056,Calcium Deficiency,Take prescribed supplements and increase dietary calcium.,"Avoid excess caffeine and soda, which can reduce calcium absorption.","Dairy products, leafy greens, fortified foods.",Excess caffeine and soda.,Ensure adequate vitamin D for calcium absorption.,Follow up calcium and bone health as advised.
D0057,Vitamin A Deficiency,Take prescribed supplements as advised.,Avoid prolonged diets lacking in vitamin A sources.,"Vitamin A-rich foods like carrots, leafy greens, dairy.",No specific restriction.,Monitor night vision changes.,Follow up as advised by the doctor.
D0058,Thalassemia,Follow the prescribed treatment and transfusion plan if applicable.,"Avoid iron supplements unless specifically advised, as iron overload can occur.",Balanced diet; consult a doctor about iron intake.,Iron-rich food/supplements unless specifically advised.,Regular monitoring for iron overload if on transfusions.,Regular hemoglobin and iron level monitoring.
D0059,Sickle Cell Disease,Stay well hydrated and follow the prescribed care plan.,"Avoid extreme temperatures, dehydration, and high altitude without precaution.","Balanced, nutrient-rich diet, adequate fluids.",No specific restriction.,Rest during pain episodes; keep warm.,Monitor for pain crises and seek prompt care when they occur.
D0060,G6PD Deficiency,Avoid known trigger substances and foods as advised by a doctor.,Avoid fava beans and certain medications that can trigger red blood cell breakdown.,"Balanced diet, avoiding known triggers.",Fava beans and other known triggers.,Inform all healthcare providers of this condition before new medications.,Monitor for jaundice or dark urine after potential triggers.
D0061,Hemophilia,Follow the prescribed factor replacement therapy plan.,Avoid activities with high injury risk and avoid NSAIDs.,Balanced diet; no specific dietary link.,No specific restriction.,Protect against injury; apply first aid promptly for cuts.,Regular follow-up with a hematologist.
D0062,Major Depressive Disorder,Engage with therapy and take prescribed medication consistently if advised.,Avoid isolating completely and avoid alcohol as self-medication.,Balanced diet; regular meals support overall wellbeing.,Excess alcohol and caffeine.,"Maintain a routine, gentle physical activity, and social connection.",Track mood patterns and follow up regularly with a mental health professional.
D0063,Generalized Anxiety Disorder,Engage with therapy and relaxation techniques.,"Avoid excess caffeine, which can worsen anxiety symptoms.","Balanced diet, regular meals.",Excess caffeine.,Practice breathing exercises and regular physical activity.,Track anxiety triggers and patterns to discuss with a professional.
D0064,Panic Disorder,Engage with therapy; use prescribed medication if advised.,Avoid excess caffeine and stimulants.,"Balanced diet, regular meals.",Excess caffeine.,Practice grounding and breathing techniques during attacks.,Track frequency and triggers of panic attacks.
D0065,Bipolar Disorder,Take prescribed mood-stabilizing medication consistently.,"Avoid sleep deprivation and alcohol, which can trigger episodes.","Balanced, regular diet.",Excess caffeine and alcohol.,Maintain a regular sleep schedule.,Track mood episodes and follow up regularly with a psychiatrist.
D0066,Obsessive-Compulsive Disorder (OCD),"Engage with therapy, particularly exposure-based approaches, as advised.",Avoid reinforcing compulsive behaviors when possible.,Balanced diet; no specific dietary link.,No specific restriction.,Practice gradual exposure techniques as guided by a therapist.,Track symptom severity and follow up with a mental health professional.
D0067,Post-Traumatic Stress Disorder (PTSD),Engage with trauma-focused therapy as advised.,Avoid substance use as a coping mechanism.,Balanced diet; regular meals support overall wellbeing.,Excess alcohol.,Build a support network and use grounding techniques.,Track symptom patterns and follow up with a mental health professional.
D0068,Schizophrenia,Take prescribed medication consistently and attend regular follow-ups.,Avoid stopping medication without medical guidance.,"Balanced, regular diet.",No specific restriction.,Maintain a structured routine and social support.,Regular psychiatric follow-up to monitor symptoms and medication effects.
D0069,Insomnia Disorder,Practice good sleep hygiene and consistent sleep schedule.,"Avoid caffeine, heavy meals, and screens close to bedtime.",Light evening meals.,Caffeine and heavy meals late in the day.,Create a calming bedtime routine.,Track sleep patterns and discuss persistent issues with a doctor.
D0070,Alcohol Use Disorder,"Seek professional support for gradual, safe reduction or cessation.","Avoid sudden unsupervised stopping, which can be medically risky.","Balanced, nutrient-rich diet to address possible deficiencies.",Alcohol.,Build a support network; consider counseling or support groups.,Regular follow-up with a healthcare provider during recovery.
D0071,Polycystic Ovary Syndrome (PCOS),Focus on gradual weight management and regular physical activity if advised.,Avoid excess refined carbohydrates and sugar.,"High-fiber diet, lean protein, whole grains.",Sugary and refined carbohydrate foods.,Regular exercise to help manage insulin sensitivity.,Track menstrual cycle regularity and follow up periodically.
D0072,Endometriosis,Follow the prescribed pain management and treatment plan.,Avoid delaying evaluation of worsening pelvic pain.,Anti-inflammatory diet with fruits and vegetables.,Processed food and excess caffeine.,Use heat therapy for pain relief as needed.,Track pain patterns and follow up regularly with a gynecologist.
D0073,Uterine Fibroids,Follow up with a gynecologist to monitor fibroid size and symptoms.,Avoid delaying evaluation of heavy or prolonged bleeding.,Iron-rich diet if bleeding is heavy.,No specific restriction.,Track bleeding patterns.,Regular gynecological follow-up and periodic ultrasound monitoring.
D0074,Pelvic Inflammatory Disease,Complete prescribed antibiotics fully.,"Avoid delaying treatment, as it can affect future fertility.","Balanced, nutritious diet.",No specific restriction.,Rest and avoid strenuous activity during acute treatment.,Follow up to confirm resolution of infection.
D0075,Anemia in Pregnancy,Take prescribed iron and folic acid supplements consistently.,Avoid tea or coffee with iron-rich meals.,Iron-rich foods with vitamin C for better absorption.,Excess tea/coffee with meals.,Attend regular antenatal checkups.,Follow up hemoglobin levels as advised during pregnancy.
D0076,Pre-eclampsia,Follow the prescribed monitoring and treatment plan closely.,Avoid missing antenatal appointments.,Balanced diet as guided by the obstetrician.,Excess salt.,Monitor blood pressure and swelling closely.,"Seek urgent care for severe headache, visual changes, or worsening swelling."
D0077,Gestational Diabetes,Follow the prescribed diet and monitoring plan.,Avoid excess sugar and refined carbohydrates.,Balanced meals with controlled carbohydrate intake.,Sugary foods and drinks.,Regular light physical activity as advised.,Monitor blood sugar levels as advised by the obstetrician.
D0078,Cervical Cancer,Follow the treatment plan recommended by the oncology team.,Avoid delaying follow-up appointments.,"Balanced, nutrient-rich diet to support treatment.",No specific restriction.,Attend regular screening as recommended.,Follow up as per the oncology team's schedule.
D0079,Breast Cancer,Follow the treatment plan recommended by the oncology team.,Avoid delaying evaluation of new lumps or changes.,"Balanced, nutrient-rich diet to support treatment.",No specific restriction.,Perform regular self-exams as advised.,Follow up as per the oncology team's schedule.
D0080,Menopause-related Symptoms,Discuss symptom management options with a doctor.,"Avoid smoking, which can worsen some symptoms.",Calcium and vitamin D-rich diet for bone health.,"Excess caffeine and alcohol, which may worsen hot flashes.",Regular exercise and stress management.,Periodic health checkups including bone density as advised.
D0081,Benign Prostatic Hyperplasia (Enlarged Prostate),Follow the prescribed treatment plan and monitor urinary symptoms.,Avoid excess fluid intake before bedtime.,Balanced diet; limit bladder irritants like caffeine.,Excess caffeine and alcohol.,Practice timed urination if advised.,Follow up regularly to monitor symptom progression.
D0082,Prostate Cancer,Follow the treatment plan recommended by the oncology/urology team.,Avoid delaying follow-up appointments.,"Balanced, nutrient-rich diet.",No specific restriction.,Attend regular screening as recommended for at-risk individuals.,Follow up as per the specialist's schedule.
D0083,Erectile Dysfunction,Discuss underlying causes and treatment options with a doctor.,Avoid unverified over-the-counter remedies without medical advice.,"Heart-healthy diet, as this condition can be linked to cardiovascular health.",Excess alcohol and smoking.,Manage related conditions like diabetes or hypertension if present.,Follow up to monitor response to treatment.
D0084,Testicular Torsion,Seek emergency surgical care immediately; this cannot wait.,"Do not delay seeking care, as timing affects outcome.",Not applicable during emergency phase.,Not applicable during emergency phase.,No home management is appropriate; this needs emergency surgery.,Follow up as advised by the surgical team after treatment.
D0085,Acute Diarrheal Disease in Children,Give ORS frequently and continue feeding as tolerated.,Avoid stopping breastfeeding or feeding during illness.,"Continued breastfeeding/feeding, ORS, easily digestible food.","Sugary drinks and juices, which can worsen diarrhea.",Monitor hydration signs like wet diapers and alertness.,"Seek care if there is blood in stool, high fever, or reduced urination."
D0086,Acute Respiratory Infection in Children,"Ensure rest, fluids, and monitor breathing closely.",Avoid exposure to smoke or pollutants.,"Adequate fluids and light, nutritious food.",No specific restriction.,Keep the child comfortable and monitor breathing rate.,"Seek care if breathing becomes fast, labored, or the child appears lethargic."
D0087,Febrile Seizures,Keep the child safe during the seizure and seek prompt medical evaluation.,Avoid restraining the child or putting anything in their mouth during a seizure.,Balanced diet; no specific dietary link.,No specific restriction.,Manage fever with medication as advised and monitor closely.,Discuss seizure recurrence risk and management plan with the pediatrician.
D0088,Childhood Malnutrition (Stunting/Wasting),Follow a structured nutritional rehabilitation plan with a health worker.,Avoid delaying nutritional intervention.,Calorie and protein-dense foods appropriate for age.,No specific restriction.,Regular growth monitoring.,Track weight and height gain against growth charts over time.
D0089,Measles-related Complications,Seek prompt medical care for any complications like breathing difficulty or ear pain.,Avoid delaying care if the child appears increasingly unwell.,"Soft, nutritious food and fluids.",No specific restriction.,Monitor closely during the recovery period.,"Follow up as advised, especially for vision or hearing changes."
D0090,Rickets,Follow the prescribed vitamin D and calcium supplementation plan.,Avoid prolonged lack of sun exposure.,Calcium and vitamin D-rich foods.,No specific restriction.,Encourage safe outdoor time for sun exposure.,Follow up growth and bone health as advised.
D0091,Eczema (Atopic Dermatitis),Moisturize regularly and use prescribed treatments during flares.,Avoid known triggers and harsh soaps.,Balanced diet; note any specific food triggers if identified.,"Identified trigger foods, if any.",Use fragrance-free moisturizers and avoid scratching.,Track flare frequency and triggers to discuss with a doctor.
D0092,Psoriasis,Follow the prescribed treatment plan and moisturize regularly.,Avoid known triggers like stress and skin injury.,Anti-inflammatory diet.,"Alcohol and processed food, which may worsen flares for some.","Manage stress, which can trigger flares.",Track flare patterns and follow up with a dermatologist.
D0093,Vitiligo,Follow the treatment plan recommended by a dermatologist.,Avoid excessive sun exposure on affected areas without protection.,Balanced diet; no proven specific dietary link.,No specific restriction.,Use sun protection on depigmented areas.,Follow up periodically to monitor patch changes.
D0094,Cataract,Follow up with an ophthalmologist to monitor vision changes.,Avoid delaying evaluation if vision significantly affects daily activities.,Balanced diet rich in antioxidants.,No specific restriction.,Use adequate lighting and avoid night driving if vision is impaired.,Follow up regularly to assess if surgery is needed.
D0095,Glaucoma,Use prescribed eye drops consistently and attend regular checkups.,"Avoid missing doses, as this can worsen eye pressure control.",Balanced diet; no specific dietary link.,"Excess caffeine in large amounts, which may affect eye pressure.",Protect vision by following the treatment plan closely.,Regular eye pressure and vision field monitoring.
D0096,Refractive Error (Myopia/Hyperopia),Use prescribed corrective glasses or lenses.,Avoid prolonged near-work without breaks.,Balanced diet; no specific dietary link.,No specific restriction.,Follow the 20-20-20 rule during screen use.,Periodic eye checkups to update prescription as needed.
D0097,Otitis Media (Middle Ear Infection),"Complete prescribed antibiotics if given, and manage pain as advised.",Avoid inserting objects into the ear.,Balanced diet; no specific dietary link.,No specific restriction.,Keep the ear dry during treatment.,Follow up if pain persists or hearing seems affected after treatment.
D0098,Sinusitis,Use prescribed treatment and steam inhalation for relief.,Avoid known allergens and irritants.,"Warm fluids, adequate hydration.",No specific restriction.,Steam inhalation and saline nasal rinses may help.,Seek care if symptoms persist beyond 10 days or worsen.
D0099,Allergic Rhinitis,Identify and avoid known allergens where possible.,"Avoid known triggers like dust, pollen, or pet dander.",Balanced diet; no specific dietary link.,No specific restriction.,Use air purifiers and keep living spaces clean of dust.,Track symptom patterns in relation to seasons or exposures.
D0100,Lower Back Pain (Lumbar Strain),"Rest for 24-48 hours if severe, then resume gentle activity gradually.",Avoid heavy lifting and prolonged bed rest beyond 2 days.,Balanced diet; no specific dietary link.,No specific restriction.,Apply heat or cold as comfortable; maintain good posture and use a firm mattress.,"Seek care if pain radiates down the leg, or if there is numbness or weakness."
D0101,Tension-Type Headache,"Rest, manage stress, and use over-the-counter pain relief as advised.",Avoid excess caffeine and poor posture during screen use.,Regular meals; stay hydrated.,Excess caffeine.,Apply gentle neck and shoulder stretches; take regular screen breaks.,"Seek care if headaches become frequent, severe, or change in pattern."
D0102,Kidney Stones (Nephrolithiasis),"Drink plenty of water (2.5 to 3 liters daily) and take prescribed pain relief.","Avoid excess sodium, animal protein, and high-oxalate foods without balance.","Adequate fluids, fresh lemonade, calcium-rich foods paired with meals.","Excess salt, spinach, nuts, chocolates, and heavy red meat.","Filter urine to catch stones for analysis if advised; apply local heat for flank pain.","Seek immediate emergency care if severe pain is accompanied by fever or inability to pass urine."
D0103,Hemorrhoids (Piles),"Increase dietary fiber and water intake to keep stools soft.","Avoid straining during bowel movements and sitting on the toilet for prolonged periods.","High-fiber diet (whole grains, oats, papaya, legumes) and adequate water.","Spicy, fried, and low-fiber processed foods.","Take warm sitz baths 2-3 times daily for symptom relief; avoid rough wiping.","Monitor for rectal bleeding, and seek clinical review if pain worsens or bleeding is persistent."
D0104,Constipation (Functional),"Engage in regular physical activity and maintain regular bowel habits.","Avoid ignoring the urge to pass stool and over-relying on stimulant laxatives.","High-fiber fruits (prunes, figs, apples), vegetables, and warm fluids.","Processed flour (maida), fast food, and excess dairy.","Drink warm water first thing in the morning; practice abdominal massage.","Track bowel movements; seek care if constipation lasts over 2 weeks or is paired with unexplained weight loss."
