state,district,city,latitude,longitude,climate_region,season_context
Karnataka,Kalaburagi,Kalaburagi,17.3297,76.8343,Northern Dry Zone,"Intense summer heat stroke risk, seasonal gastroenteritis"
Karnataka,Udupi,Udupi,13.3409,74.7421,Coastal Lowland,"Monsoon leptospirosis, high humidity skin conditions"
Tamil Nadu,Chennai,Chennai,13.0827,80.2707,Coromandel Coastal,"Post-monsoon vector borne fevers, heat hydration needs"
Tamil Nadu,Coimbatore,Coimbatore,11.0168,76.9558,Rain Shadow Foothills,"Seasonal allergies, dust-induced asthma, mild winter viral colds"
Tamil Nadu,Madurai,Madurai,9.9252,78.1198,Vaigai Semi-arid,"Summer heat exhaustion, monsoon mosquito-borne diseases"
Tamil Nadu,Tiruchirappalli,Tiruchirappalli,10.7905,78.7047,Cauvery Basin,"Heat wave hyperthermia, waterborne digestive infections"
Tamil Nadu,Salem,Salem,11.6643,78.146,Inland Valley,"Industrial dust respiratory irritation, summer dehydration"
Tamil Nadu,Tiruppur,Tiruppur,11.1085,77.3411,Semi-arid Industrial,"Textile dye dust allergic dermatitis, seasonal fevers"
Tamil Nadu,Vellore,Vellore,12.9165,79.1325,Inland Arid Basin,"Extreme summer heat fatigue, seasonal viral infections"
Tamil Nadu,Tirunelveli,Tirunelveli,8.7139,77.7567,Tamirabarani Basin,"Post-monsoon viral fevers, humidity skin rashes"
Telangana,Hyderabad,Hyderabad,17.385,78.4867,Deccan Semi-arid,"Monsoon Dengue/Chikungunya, summer dehydration, seasonal viral flu"
Telangana,Warangal,Warangal,17.9689,79.5941,Telangana Plateau,"Extreme summer heat stress, seasonal enteric fevers"
Telangana,Nizamabad,Nizamabad,18.6725,78.0941,Northern Basin,"Summer heat exhaustion, post-monsoon viral fevers"
Telangana,Karimnagar,Karimnagar,18.4386,79.1288,Granitic Semi-arid,"Severe summer heat waves, waterborne gastrointestinal concerns"
Andhra Pradesh,Visakhapatnam,Visakhapatnam,17.6868,83.2185,Eastern Coastal,"Coastal humidity fungal skin rashes, post-monsoon vector-borne fevers"
Andhra Pradesh,NTR District,Vijayawada,16.5062,80.648,Krishna Delta / Tropical,"Intense summer heat strokes (Loo), monsoon waterborne illnesses"
Andhra Pradesh,Guntur,Guntur,16.3067,80.4365,Krishna Coastal Plains,"Summer hyperthermia, seasonal gastrointestinal infections"
Andhra Pradesh,Tirupati,Tirupati,13.6288,79.4192,Rayalaseema Foothills,"Pilgrim density seasonal flu transmission, summer dehydration"
Andhra Pradesh,Kurnool,Kurnool,15.8281,78.0373,Rayalaseema Arid,"Severe summer heat waves, dehydration and renal stone risk"
Kerala,Thiruvananthapuram,Thiruvananthapuram,8.5241,76.9366,Tropical Coastal Humid,"Monsoon Leptospirosis, Dengue, humidity fungal dermatophytosis"
Kerala,Ernakulam,Kochi,9.9312,76.2673,Coastal Wetland,"Monsoon waterborne gastro, mosquito-borne fevers, humidity asthma"
Kerala,Kozhikode,Kozhikode,11.2588,75.7804,Malabar Coast,"Seasonal viral hepatitis, monsoon leptospirosis, respiratory allergies"
Kerala,Thrissur,Thrissur,10.5276,76.2144,Central Lowlands,"Monsoon vector fevers, seasonal viral flu, mold-induced allergies"
Kerala,Kottayam,Kottayam,9.5916,76.5222,Midland Basin,"Rainy season viral fevers, waterborne GI concerns"
Kerala,Wayanad,Kalpetta,11.6103,76.0827,Western Ghats Highland,"Monsoon mite typhus (Scrub Typhus), seasonal cold and respiratory flu"
West Bengal,Kolkata,Kolkata,22.5726,88.3639,Gangetic Delta Wet-Dry,"Monsoon Dengue, seasonal gastroenteritis, winter particulate smog"
West Bengal,Howrah,Howrah,22.5958,88.2636,Deltaic Urban,"Monsoon waterborne infections, humidity respiratory allergies"
West Bengal,Paschim Bardhaman,Asansol,23.6739,86.9524,Chota Nagpur Plateau Margin,"Coal dust inhalation bronchitis, summer heat exhaustion"
West Bengal,Darjeeling,Darjeeling,27.041,88.2663,Eastern Himalayan Montane,"Cold-induced chilblains, high altitude respiratory infections, mold allergy"
West Bengal,Siliguri,Siliguri,26.7271,88.3953,Terai Foothills,"Vector-borne Malaria/Dengue, seasonal viral fevers"
West Bengal,Malda,English Bazar,25.0108,88.1411,Northern Gangetic,"Monsoon waterborne enteric illnesses, seasonal fever surges"
Bihar,Patna,Patna,25.5941,85.1376,Gangetic Plains Subtropical,"Winter smog bronchitis, monsoon waterborne enteric infections, Dengue"
Bihar,Gaya,Gaya,24.7914,85.0002,Southern Rocky Plains,"Intense summer heat strokes, winter viral fevers"
Bihar,Bhagalpur,Bhagalpur,25.2425,86.9842,Eastern Gangetic,"Monsoon vector-borne infections, seasonal flu"
Bihar,Muzaffarpur,Muzaffarpur,26.1209,85.3647,North Bihar Plains,"Seasonal acute encephalitis syndrome surveillance, monsoon waterborne GI"
Bihar,Darbhanga,Darbhanga,26.1542,85.8918,Mithila Wetlands,"Monsoon flood-related waterborne infections, fungal skin issues"
Madhya Pradesh,Bhopal,Bhopal,23.2599,77.4126,Central Plateau Subtropical,"Seasonal viral fevers, winter respiratory allergies, monsoon waterborne ailments"
Madhya Pradesh,Indore,Indore,22.7196,75.8577,Malwa Plateau,"Seasonal viral flu, winter smog throat irritation, heat fatigue"
Madhya Pradesh,Jabalpur,Jabalpur,23.1815,79.9864,Narmada Valley,"Vector-borne Malaria in forest fringes, seasonal viral fevers"
Madhya Pradesh,Gwalior,Gwalior,26.2183,78.1828,Chambal Subtropical,"Severe summer heat waves (45°C+), winter severe cold bronchospasms"
Madhya Pradesh,Ujjain,Ujjain,23.1765,75.7885,Malwa Semi-arid,"Seasonal pilgrim flu, summer dehydration"
Punjab,Ludhiana,Ludhiana,30.901,75.8573,Indo-Gangetic Plain,"Stubble burning post-harvest respiratory distress, winter smog, seasonal viral flu"
Punjab,Amritsar,Amritsar,31.634,74.8723,Northwestern Plains,"Winter severe cold bronchitis, summer heat waves, waterborne ailments"
Punjab,Jalandhar,Jalandhar,31.326,75.5762,Doaba Plains,"Seasonal viral fevers, winter asthma exacerbations"
Punjab,Patiala,Patiala,30.3398,76.3869,Malwa Plains,"Harvest dust allergies, seasonal gastrointestinal infections"
Punjab,SAS Nagar,Mohali,30.7046,76.7179,Sub-Shivalik Plains,"Seasonal pollen allergies, winter smog cough and cold"
Haryana,Gurugram,Gurugram,28.4595,77.0266,NCR Semi-arid Urban,"Winter severe AQI smog asthma, monsoon dengue, seasonal viral flu"
Haryana,Faridabad,Faridabad,28.4089,77.3178,NCR Industrial,"Particulate air pollution bronchitis, seasonal vector-borne diseases"
Haryana,Panipat,Panipat,29.3909,76.9635,Upper Yamuna Plains,"Industrial dust respiratory irritation, seasonal flu"
Haryana,Ambala,Ambala,30.3782,76.7767,Sub-Shivalik Plain,"Monsoon water stagnation fevers, winter cold respiratory illnesses"
Haryana,Hisar,Hisar,29.1492,75.7217,Semi-arid Thar Margin,"Severe summer heat waves (Loo), extreme winter morning frost bites"
Odisha,Khordha,Bhubaneswar,20.2961,85.8245,Eastern Coastal Plains,"Post-cyclone waterborne diarrhea, monsoon Dengue/Malaria, intense summer humidity heat"
Odisha,Cuttack,Cuttack,20.4625,85.8828,Mahanadi Delta,"Monsoon waterlogging infections, seasonal viral fevers"
Odisha,Sundargarh,Rourkela,22.2604,84.8536,Chota Nagpur Transition,"Summer heat stroke, industrial smoke respiratory irritation"
Odisha,Puri,Puri,19.8135,85.8312,Bay of Bengal Coastal,"High humidity fungal dermatitis, summer dehydration among pilgrims"
Jharkhand,Ranchi,Ranchi,23.3441,85.3096,Chota Nagpur Plateau,"Seasonal viral flu during temperature drops, malaria in forested pockets"
Jharkhand,East Singhbhum,Jamshedpur,22.8046,86.2029,Subarnarekha Valley,"Summer heat exhaustion, industrial air allergies, monsoon fevers"
Jharkhand,Dhanbad,Dhanbad,23.7957,86.4304,Coal Belt Plateau,"Coal dust pneumoconiosis / chronic bronchitis, waterborne GI ailments"
Chhattisgarh,Raipur,Raipur,21.2514,81.6296,Mahanadi Basin Tropical,"Extreme summer heat hyperthermia, monsoon vector-borne fevers"
Chhattisgarh,Bilaspur,Bilaspur,22.0797,82.1391,Central Chhattisgarh,"Summer heat waves, seasonal viral flu, waterborne gastroenteritis"
Chhattisgarh,Durg,Bhilai,21.212,81.3733,Industrial Plain,"Particulate air allergies, monsoon vector-borne illnesses"
Assam,Kamrup Metropolitan,Guwahati,26.1445,91.7362,Brahmaputra Valley Humid Subtropical,"Monsoon flood-borne water infections, Malaria, Japanese Encephalitis risk, humidity mold asthma"
Assam,Dibrugarh,Dibrugarh,27.4728,94.912,Upper Assam Humid,"Vector-borne Japanese Encephalitis, rainy season enteric infections"
Assam,Cachar,Silchar,24.8333,92.7789,Barak Valley,"Post-flood gastroenteritis, fungal skin rashes"
Uttarakhand,Dehradun,Dehradun,30.3165,78.0322,Doon Valley Sub-Himalayan,"Seasonal pollen asthma, winter viral infections, monsoon dengue in valleys"
Uttarakhand,Haridwar,Haridwar,29.9457,78.1642,Gangetic Foothills,"Pilgrim seasonal viral transmission, summer heat exhaustion, monsoon fevers"
Uttarakhand,Nainital,Nainital,29.3919,79.4542,Lesser Himalayan Montane,"Cold-induced asthma and chilblains, motion sickness during hill travel"
Himachal Pradesh,Shimla,Shimla,31.1048,77.1734,Northwest Himalayan Montane,"Severe winter hypothermia, cold-induced bronchospasm, dry winter skin fissures"
Himachal Pradesh,Kangra,Dharamshala,32.219,76.3234,Dhauladhar Foothills Wet,"High monsoon rainfall mold allergies, winter viral respiratory illnesses"
Himachal Pradesh,Kullu,Manali,32.2396,77.1887,High Alpine Himalayan,"High altitude acute mountain sickness (AMS), frostbite, hypothermia"
Jammu and Kashmir,Srinagar,Srinagar,34.0837,74.7973,Kashmir Valley Continental Temperate,"Severe sub-zero winter (Chillai Kalan) respiratory infections, chilblains, carbon monoxide room heater caution"
Jammu and Kashmir,Jammu,Jammu,32.7266,74.857,Sub-Himalayan Plain,"Summer intense heat waves, monsoon viral fevers, winter smog cold"
Jammu and Kashmir,Anantnag,Anantnag,33.7311,75.1522,South Kashmir Valley,"Winter respiratory illnesses, cold-induced frostbite, seasonal flu"
Ladakh,Leh,Leh,34.1526,77.5771,High Altitude Cold Desert,"Acute Mountain Sickness (AMS), extreme hypoxia, severe dry skin and dehydration, intense UV radiation sunburn"
Ladakh,Kargil,Kargil,34.5539,76.1349,Cold Desert Alpine,"Sub-zero extreme cold frostbite, low oxygen fatigue, winter respiratory ailments"
Goa,North Goa,Panaji,15.4909,73.8278,Konkan Coastal Tropical,"Monsoon vector-borne Dengue/Malaria, tourist sunburn/dehydration, humidity fungal infections"
Goa,South Goa,Margao,15.2832,73.9862,Konkan Coastal,"High humidity skin dermatitis, seasonal viral fevers"
Tripura,West Tripura,Agartala,23.8315,91.2868,Humid Subtropical Borderlands,"Monsoon vector-borne Malaria/Dengue, waterborne enteric fevers"
Meghalaya,East Khasi Hills,Shillong,25.5788,91.8933,Subtropical Highland Pine Belt,"High rainfall mold allergies, cold viral bronchitis, waterborne GI concerns"
Manipur,Imphal West,Imphal,24.817,93.9368,Imphal Valley Subtropical,"Seasonal viral colds, monsoon waterborne infections"
Nagaland,Kohima,Kohima,25.6751,94.1086,Naga Hills Montane,"Winter cold respiratory infections, seasonal viral flu"
Nagaland,Dimapur,Dimapur,25.9068,93.7273,Plains Foothills,"Monsoon vector-borne diseases, high humidity fungal issues"
Mizoram,Aizawl,Aizawl,23.7271,92.7176,Lushai Hills Highland,"Seasonal respiratory infections, scrub typhus in hilly vegetation, monsoon GI issues"
Arunachal Pradesh,Papum Pare,Itanagar,27.0844,93.6053,Eastern Himalayan Foothills,"Heavy monsoon humidity mold allergies, vector-borne risks, cold viral flu"
Arunachal Pradesh,Tawang,Tawang,27.5861,91.8594,High Alpine Himalayan,"High altitude mountain sickness, freezing hypothermia, frostbite"
Sikkim,East Sikkim,Gangtok,27.3389,88.6065,Eastern Himalayan Montane,"Cold-induced respiratory bronchospasm, motion sickness, seasonal viral fevers"
Chandigarh,Chandigarh,Chandigarh,30.7333,76.7794,Sub-Shivalik Subtropical,"Seasonal pollen allergy rhinitis, winter cold smog cough, monsoon dengue prevention"
Puducherry,Puducherry,Puducherry,11.9416,79.8083,Coromandel Coastal Tropical,"High humidity skin dermatitis, post-monsoon vector fevers, coastal heat hydration"
Andaman and Nicobar Islands,South Andaman,Port Blair,11.6234,92.7265,Tropical Oceanic Island,"Monsoon Dengue and Malaria vigilance, high humidity skin fungal infections, tropical dehydration"
Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,20.3974,72.8328,Arabian Sea Coastal,"Coastal humidity skin rashes, seasonal viral flu, monsoon gastrointestinal ailments"
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Silvassa,20.2763,73.0083,Western Ghats Transition,"Monsoon vector-borne illnesses, seasonal viral fevers"
Lakshadweep,Lakshadweep,Kavaratti,10.5669,72.642,Tropical Coral Atoll,"Marine sun exposure dehydration, humidity fungal skin infections, seasonal viral flu"
