symptom_id,symptom_name,symptom_name_hi,symptom_name_gu,body_system,symptom_category,severity_level,emergency_flag,common_in_children,common_in_adults,common_in_elderly,description,source
S000032,Sore Throat,गले में खराश,ગળામાં દુખાવો,Respiratory,Respiratory,Low,No,Yes,Yes,Yes,"Pain, scratchiness, or irritation of the throat, often worse with swallowing.",Draft - pending clinical review
S000033,Hoarseness,आवाज़ बैठना,અવાજ બેસી જવો,Respiratory,Respiratory,Low,No,No,Yes,Yes,"An abnormal change in voice quality, often sounding raspy or strained.",Draft - pending clinical review
S000034,Nasal Congestion,नाक बंद होना,નાક બંધ થવું,Respiratory,Respiratory,Low,No,Yes,Yes,Yes,"Blocked or stuffy nose, commonly from cold, allergy, or sinus infection.",Draft - pending clinical review
S000035,Runny Nose,नाक बहना,નાક વહેવું,Respiratory,Respiratory,Low,No,Yes,Yes,Yes,"Excess discharge from the nose, usually with colds or allergies.",Draft - pending clinical review
S000036,Loss of Smell,सूंघने की शक्ति कम होना,સૂંઘવાની ક્ષમતા ઓછી થવી,Respiratory,Respiratory,Low,No,No,Yes,Yes,"Reduced or absent sense of smell, which can accompany colds, allergies, or viral infections.",Draft - pending clinical review
S000037,Sinus Pain or Pressure,साइनस में दर्द या दबाव,સાઇનસમાં દુખાવો કે દબાણ,Respiratory,Respiratory,Low,No,No,Yes,Yes,"Pain or pressure around the forehead, cheeks, or eyes from sinus congestion.",Draft - pending clinical review
S000038,Snoring with Breathing Pauses,खर्राटे के साथ सांस रुकना,નસકોરાં સાથે શ્વાસ અટકવો,Respiratory,Respiratory,Medium,No,No,Yes,Yes,Loud snoring accompanied by brief pauses in breathing during sleep.,Draft - pending clinical review
S000039,Bluish Lips or Face (Cyanosis),होंठ या चेहरे का नीला पड़ना,હોઠ કે ચહેરાનું ભૂરું પડવું,Respiratory,Respiratory,High,Yes,Yes,Yes,Yes,A bluish tinge to the lips or skin indicating low oxygen levels — a medical emergency.,Draft - pending clinical review
S000040,Chest Pain While Breathing,सांस लेते समय छाती में दर्द,શ્વાસ લેતી વખતે છાતીમાં દુખાવો,Respiratory,Respiratory,High,Yes,No,Yes,Yes,Sharp chest pain that worsens with breathing or coughing.,Draft - pending clinical review
S000041,Persistent Cough (more than 3 weeks),3 हफ्तों से ज़्यादा लगातार खांसी,3 અઠવાડિયાથી વધુ સતત ઉધરસ,Respiratory,Respiratory,Medium,No,No,Yes,Yes,"A cough lasting more than three weeks, which should be medically evaluated.",Draft - pending clinical review
S000042,Breathlessness on Mild Exertion,हल्के काम में भी सांस फूलना,હળવા કામમાં પણ શ્વાસ ચઢવો,Respiratory,Respiratory,Medium,No,No,Yes,Yes,Getting out of breath with activity that previously did not cause difficulty.,Draft - pending clinical review
S000043,Choking Sensation,गला घुटने जैसा महसूस होना,ગળું રૂંધાવા જેવું લાગવું,Respiratory,Respiratory,High,Yes,No,Yes,Yes,"A feeling of being unable to breathe properly, sometimes from airway obstruction.",Draft - pending clinical review
S000044,Rattling Sound in Chest,छाती में घरघराहट की आवाज़,છાતીમાં ઘરઘરાટીનો અવાજ,Respiratory,Respiratory,Medium,No,Yes,No,Yes,"A crackling or rattling sound heard with breathing, often from mucus in the airways.",Draft - pending clinical review
S000045,Sudden Severe Breathlessness with Blue Lips,अचानक तेज़ सांस फूलना और होंठ नीले पड़ना,અચાનક તીવ્ર શ્વાસ ચઢવો અને હોઠ ભૂરા પડવા,Respiratory,Respiratory,High,Yes,Yes,Yes,Yes,"Sudden, severe breathing difficulty with bluish lips — requires emergency care immediately.",Draft - pending clinical review
S000046,Chest Pain,छाती में दर्द,છાતીમાં દુખાવો,Cardiovascular,Cardiovascular,High,Yes,No,Yes,Yes,Pain or discomfort in the chest that can range from mild to severe and needs evaluation.,Draft - pending clinical review
S000047,"Chest Pain Radiating to Arm, Jaw, or Back","छाती का दर्द बांह, जबड़े या पीठ तक फैलना","છાતીનો દુખાવો હાથ, જડબા કે પીઠ સુધી ફેલાવો",Cardiovascular,Cardiovascular,High,Yes,No,Yes,Yes,"Chest pain spreading to the arm, jaw, or back — a classic warning sign of a heart problem.",Draft - pending clinical review
S000048,Palpitations (Racing Heart),दिल की धड़कन तेज़ महसूस होना,હૃદયના ધબકારા ઝડપી લાગવા,Cardiovascular,Cardiovascular,Medium,No,No,Yes,Yes,"A sensation of the heart racing, fluttering, or pounding.",Draft - pending clinical review
S000049,Irregular Heartbeat (Arrhythmia),दिल की धड़कन अनियमित होना,હૃદયના ધબકારા અનિયમિત હોવા,Cardiovascular,Cardiovascular,High,Yes,No,Yes,Yes,"A heartbeat that feels irregular, skipping, or out of rhythm.",Draft - pending clinical review
S000050,Fainting (Syncope),बेहोश हो जाना,બેભાન થઈ જવું,Cardiovascular,Cardiovascular,High,Yes,No,Yes,Yes,"A sudden, temporary loss of consciousness, often due to reduced blood flow to the brain.",Draft - pending clinical review
S000051,Dizziness on Standing (Orthostatic),खड़े होने पर चक्कर आना,ઊભા થવા પર ચક્કર આવવા,Cardiovascular,Cardiovascular,Medium,No,No,Yes,Yes,"Lightheadedness that occurs when standing up quickly, often from a drop in blood pressure.",Draft - pending clinical review
S000052,Swelling in Legs or Ankles (Edema),पैरों या टखनों में सूजन,પગ કે પગની ઘૂંટીમાં સોજો,Cardiovascular,Cardiovascular,Medium,No,No,Yes,Yes,"Fluid buildup causing swelling in the lower legs, often related to heart or kidney function.",Draft - pending clinical review
S000053,Cold Hands and Feet,हाथ-पैर ठंडे रहना,હાથ-પગ ઠંડા રહેવા,Cardiovascular,Cardiovascular,Low,No,Yes,Yes,Yes,"Persistently cold extremities, which can relate to circulation issues.",Draft - pending clinical review
S000054,Bluish Fingertips (Peripheral Cyanosis),उंगलियों का नीला पड़ना,આંગળીઓનું ભૂરું પડવું,Cardiovascular,Cardiovascular,High,Yes,No,Yes,Yes,A bluish tint to the fingertips indicating poor oxygen delivery.,Draft - pending clinical review
S000055,Chest Pain with Sweating and Nausea,पसीने और उल्टी के साथ छाती में दर्द,પરસેવા અને ઉલટી સાથે છાતીમાં દુખાવો,Cardiovascular,Cardiovascular,High,Yes,No,Yes,Yes,Chest pain accompanied by sweating and nausea — a strong warning sign of a possible heart attack.,Draft - pending clinical review
S000056,Rapid Heart Rate (Tachycardia),दिल की धड़कन का तेज़ होना,હૃદયના ધબકારાનું ઝડપી થવું,Cardiovascular,Cardiovascular,Medium,No,No,Yes,Yes,A heart rate faster than normal for the person's age and activity level.,Draft - pending clinical review
S000057,Slow Heart Rate (Bradycardia),दिल की धड़कन का धीमा होना,હૃદયના ધબકારાનું ધીમું થવું,Cardiovascular,Cardiovascular,Medium,No,No,No,Yes,"A heart rate slower than expected, which can cause dizziness or fatigue.",Draft - pending clinical review
S000058,Leg Pain While Walking (Claudication),चलने पर पैर में दर्द होना,ચાલવા પર પગમાં દુખાવો,Cardiovascular,Cardiovascular,Medium,No,No,No,Yes,"Cramping leg pain during walking that eases with rest, linked to reduced blood flow.",Draft - pending clinical review
S000059,Fluttering Sensation in Chest,छाती में फड़फड़ाहट महसूस होना,છાતીમાં ફફડાટ અનુભવવો,Cardiovascular,Cardiovascular,Low,No,No,Yes,Yes,"A brief fluttering or skipping feeling in the chest, usually harmless but worth noting if frequent.",Draft - pending clinical review
S000060,Sudden Severe Chest Pain with Breathlessness,अचानक तेज़ छाती का दर्द और सांस फूलना,અચાનક તીવ્ર છાતીનો દુખાવો અને શ્વાસ ચઢવો,Cardiovascular,Cardiovascular,High,Yes,No,Yes,Yes,"Sudden, severe chest pain with breathing difficulty — requires emergency evaluation.",Draft - pending clinical review
S000061,Headache,सिरदर्द,માથાનો દુખાવો,Neurology,Neurology,Low,No,Yes,Yes,Yes,"Pain in the head that varies in intensity and cause, from tension to underlying illness.",Draft - pending clinical review
S000062,Sudden Severe Headache (Thunderclap),अचानक बहुत तेज़ सिरदर्द,અચાનક ખૂબ જ તીવ્ર માથાનો દુખાવો,Neurology,Neurology,High,Yes,No,Yes,Yes,"An abrupt, extremely severe headache reaching peak intensity within seconds — needs emergency care.",Draft - pending clinical review
S000063,Migraine,माइग्रेन,માઇગ્રેન,Neurology,Neurology,Medium,No,No,Yes,Yes,"A recurring headache disorder often with throbbing pain, nausea, and light sensitivity.",Draft - pending clinical review
S000064,Dizziness,चक्कर आना,ચક્કર આવવા,Neurology,Neurology,Low,No,Yes,Yes,Yes,A sensation of unsteadiness or lightheadedness.,Draft - pending clinical review
S000065,Vertigo (Spinning Sensation),चक्कर के साथ घूमने जैसा महसूस होना,ચક્કર સાથે ફરવા જેવું લાગવું,Neurology,Neurology,Medium,No,No,Yes,Yes,A false sensation that the surroundings or self are spinning.,Draft - pending clinical review
S000066,Sudden One-Sided Weakness (Stroke Warning),अचानक शरीर के एक तरफ कमजोरी (स्ट्रोक का संकेत),અચાનક શરીરની એક બાજુ નબળાઈ (સ્ટ્રોકનું ચિહ્ન),Neurology,Neurology,High,Yes,No,Yes,Yes,Sudden weakness or numbness on one side of the body — a classic stroke warning sign.,Draft - pending clinical review
S000067,Slurred Speech,बोलने में लड़खड़ाहट,બોલવામાં ગોટાળો,Neurology,Neurology,High,Yes,No,Yes,Yes,Speech that suddenly becomes unclear or difficult to understand — can indicate stroke.,Draft - pending clinical review
S000068,Facial Drooping,चेहरे का एक तरफ लटक जाना,ચહેરાની એક બાજુ ઝૂકી જવી,Neurology,Neurology,High,Yes,No,Yes,Yes,Sudden drooping on one side of the face — a key stroke warning sign.,Draft - pending clinical review
S000069,Numbness or Tingling,सुन्नपन या झुनझुनी,બહેરાશ કે ઝણઝણાટી,Neurology,Neurology,Low,No,Yes,Yes,Yes,"A loss of sensation or a pins-and-needles feeling, usually in the hands, feet, or face.",Draft - pending clinical review
S000070,Seizures,दौरे पड़ना,હુમલા (ફિટ) આવવા,Neurology,Neurology,High,Yes,Yes,Yes,Yes,"Sudden, uncontrolled electrical activity in the brain causing convulsions or altered awareness.",Draft - pending clinical review
S000071,Loss of Consciousness,बेहोश हो जाना,બેભાન થઈ જવું,Neurology,Neurology,High,Yes,Yes,Yes,Yes,A temporary or prolonged loss of awareness and responsiveness — always needs urgent evaluation.,Draft - pending clinical review
S000072,Memory Loss or Confusion,याददाश्त कमज़ोर होना या भ्रम,યાદશક્તિ નબળી પડવી કે મૂંઝવણ,Neurology,Neurology,Medium,No,No,Yes,Yes,"Difficulty remembering things or sudden disorientation about time, place, or people.",Draft - pending clinical review
S000073,Difficulty Speaking or Understanding Speech,बोलने या समझने में कठिनाई,બોલવામાં કે સમજવામાં તકલીફ,Neurology,Neurology,High,Yes,No,Yes,Yes,"Sudden trouble finding words, speaking clearly, or understanding others — a stroke warning sign.",Draft - pending clinical review
S000074,Tremors,हाथ-पैर कांपना,હાથ-પગ ધ્રુજવા,Neurology,Neurology,Medium,No,No,Yes,Yes,"Involuntary shaking or trembling, often in the hands.",Draft - pending clinical review
S000075,Loss of Balance or Coordination,संतुलन या तालमेल बिगड़ना,સંતુલન કે તાલમેલ ખોરવાવો,Neurology,Neurology,Medium,No,No,Yes,Yes,Difficulty walking steadily or coordinating movements.,Draft - pending clinical review
S000076,Blurred or Double Vision,धुंधला या दोहरा दिखना,અસ્પષ્ટ કે બેવડું દેખાવું,Neurology,Neurology,Medium,No,No,Yes,Yes,Vision that appears unclear or shows two images of a single object.,Draft - pending clinical review
S000077,Sudden Vision Loss,अचानक दिखना बंद हो जाना,અચાનક દેખાવાનું બંધ થવું,Neurology,Neurology,High,Yes,No,Yes,Yes,A sudden loss of sight in one or both eyes — requires emergency evaluation.,Draft - pending clinical review
S000078,Neck Stiffness with Fever,बुखार के साथ गर्दन का अकड़ना,તાવ સાથે ગરદન અકડાવી,Neurology,Neurology,High,Yes,Yes,Yes,Yes,A stiff neck combined with fever can be a sign of meningitis and needs urgent care.,Draft - pending clinical review
S000079,Sensitivity to Light (Photophobia),रोशनी से आंखों में तकलीफ होना,પ્રકાશથી આંખોમાં તકલીફ થવી,Neurology,Neurology,Low,No,No,Yes,Yes,Discomfort or pain in the eyes when exposed to light.,Draft - pending clinical review
S000080,Involuntary Movements,अनैच्छिक हरकतें,અનૈચ્છિક હલનચલન,Neurology,Neurology,Medium,No,No,Yes,Yes,Movements of the body that happen without conscious control.,Draft - pending clinical review
S000081,Difficulty Swallowing (Neurological),निगलने में कठिनाई,ગળવામાં તકલીફ,Neurology,Neurology,High,Yes,No,No,Yes,New difficulty swallowing that can accompany neurological conditions.,Draft - pending clinical review
S000082,Head Injury with Vomiting,सिर की चोट के साथ उल्टी,માથાની ઈજા સાથે ઉલટી,Neurology,Neurology,High,Yes,Yes,Yes,Yes,Vomiting after a head injury can indicate a serious brain injury and needs urgent evaluation.,Draft - pending clinical review
S000083,Persistent Headache with Vomiting,लगातार सिरदर्द के साथ उल्टी,સતત માથાનો દુખાવો સાથે ઉલટી,Neurology,Neurology,High,Yes,No,Yes,Yes,A headache that persists along with repeated vomiting — needs prompt medical review.,Draft - pending clinical review
S000084,Weakness in Limbs,हाथ-पैरों में कमजोरी,હાથ-પગમાં નબળાઈ,Neurology,Neurology,Medium,No,No,Yes,Yes,"Reduced strength in the arms or legs, which can have several causes.",Draft - pending clinical review
S000085,Pins and Needles Sensation,चींटी चलने जैसा महसूस होना,કીડી ચાલવા જેવું લાગવું,Neurology,Neurology,Low,No,Yes,Yes,Yes,A tingling sensation often caused by pressure on a nerve or poor circulation.,Draft - pending clinical review
S000086,Nausea,जी मिचलाना,ઊબકા આવવા,Gastrointestinal,Gastrointestinal,Low,No,Yes,Yes,Yes,A feeling of unease in the stomach with an urge to vomit.,Draft - pending clinical review
S000087,Vomiting,उल्टी होना,ઉલટી થવી,Gastrointestinal,Gastrointestinal,Medium,No,Yes,Yes,Yes,Forceful expulsion of stomach contents through the mouth.,Draft - pending clinical review
S000088,Vomiting Blood (Hematemesis),उल्टी में खून आना,ઉલટીમાં લોહી આવવું,Gastrointestinal,Gastrointestinal,High,Yes,No,Yes,Yes,Vomiting that contains blood — always requires urgent medical attention.,Draft - pending clinical review
S000089,Diarrhea,दस्त लगना,ઝાડા થવા,Gastrointestinal,Gastrointestinal,Medium,No,Yes,Yes,Yes,"Frequent, loose, or watery bowel movements.",Draft - pending clinical review
S000090,Bloody Diarrhea,खून वाले दस्त,લોહીવાળા ઝાડા,Gastrointestinal,Gastrointestinal,High,Yes,No,Yes,Yes,"Diarrhea containing visible blood, which needs prompt medical evaluation.",Draft - pending clinical review
S000091,Constipation,कब्ज़,કબજિયાત,Gastrointestinal,Gastrointestinal,Low,No,Yes,Yes,Yes,Difficulty passing stool or infrequent bowel movements.,Draft - pending clinical review
S000092,Abdominal Pain,पेट में दर्द,પેટમાં દુખાવો,Gastrointestinal,Gastrointestinal,Medium,No,Yes,Yes,Yes,"Pain anywhere between the chest and pelvis, with many possible causes.",Draft - pending clinical review
S000093,Severe Abdominal Pain with Rigidity,पेट में तेज़ दर्द के साथ सख्तपन,પેટમાં તીવ્ર દુખાવો સાથે કડકપણું,Gastrointestinal,Gastrointestinal,High,Yes,No,Yes,Yes,"Intense abdominal pain with a rigid, board-like abdomen — a surgical emergency warning sign.",Draft - pending clinical review
S000094,Bloating,पेट फूलना,પેટ ફૂલવું,Gastrointestinal,Gastrointestinal,Low,No,Yes,Yes,Yes,A feeling of fullness or swelling in the abdomen.,Draft - pending clinical review
S000095,Heartburn or Acid Reflux,सीने में जलन,છાતીમાં બળતરા,Gastrointestinal,Gastrointestinal,Low,No,No,Yes,Yes,A burning sensation in the chest caused by stomach acid moving upward.,Draft - pending clinical review
S000096,Black or Tarry Stools (Melena),काला या टार जैसा मल,કાળો કે ડામર જેવો મળ,Gastrointestinal,Gastrointestinal,High,Yes,No,Yes,Yes,"Dark, sticky stools that can indicate bleeding higher in the digestive tract.",Draft - pending clinical review
S000097,Blood in Stool,मल में खून आना,મળમાં લોહી આવવું,Gastrointestinal,Gastrointestinal,High,Yes,No,Yes,Yes,"Visible blood in the stool, which needs medical evaluation to identify the cause.",Draft - pending clinical review
S000098,Abdominal Swelling or Distension,पेट का फूल जाना,પેટ ફૂલી જવું,Gastrointestinal,Gastrointestinal,Medium,No,No,Yes,Yes,"Noticeable enlargement of the abdomen, sometimes from fluid or gas buildup.",Draft - pending clinical review
S000099,Persistent Vomiting in Children,बच्चों में लगातार उल्टी,બાળકોમાં સતત ઉલટી,Gastrointestinal,Gastrointestinal,High,Yes,No,No,Yes,Ongoing vomiting in a child that risks dehydration and needs prompt attention.,Draft - pending clinical review
S000100,Rectal Pain,गुदा में दर्द,ગુદામાં દુખાવો,Gastrointestinal,Gastrointestinal,Medium,No,No,Yes,Yes,"Pain around the anus or rectum, with several possible causes.",Draft - pending clinical review
S000101,Excessive Belching,अधिक डकार आना,વધુ ઓડકાર આવવા,Gastrointestinal,Gastrointestinal,Low,No,No,Yes,Yes,"Frequent burping, often related to swallowed air or digestive issues.",Draft - pending clinical review
S000102,Stomach Cramps,पेट में मरोड़,પેટમાં ચૂંક,Gastrointestinal,Gastrointestinal,Low,No,Yes,Yes,Yes,"Sudden, sharp muscle contractions in the abdomen.",Draft - pending clinical review
S000103,Indigestion,अपच,અપચો,Gastrointestinal,Gastrointestinal,Low,No,No,Yes,Yes,"Discomfort or a feeling of fullness after eating, often with bloating or nausea.",Draft - pending clinical review
S000104,Difficulty Passing Stool,मल त्याग में कठिनाई,મળ ત્યાગમાં તકલીફ,Gastrointestinal,Gastrointestinal,Low,No,No,Yes,Yes,Straining or difficulty during bowel movements.,Draft - pending clinical review
S000105,Mucus in Stool,मल में बलगम आना,મળમાં લાળ આવવી,Gastrointestinal,Gastrointestinal,Medium,No,No,Yes,Yes,"Visible mucus in the stool, which can accompany infection or bowel irritation.",Draft - pending clinical review
S000106,Loose Motions with Fever,बुखार के साथ दस्त,તાવ સાથે ઝાડા,Gastrointestinal,Gastrointestinal,Medium,No,Yes,Yes,Yes,"Diarrhea occurring together with fever, often suggesting an infectious cause.",Draft - pending clinical review
S000107,Severe Dehydration from Diarrhea/Vomiting,दस्त/उल्टी से गंभीर पानी की कमी,ઝાડા/ઉલટીથી ગંભીર પાણીની ઉણપ,Gastrointestinal,Gastrointestinal,High,Yes,Yes,Yes,Yes,Significant fluid loss from ongoing diarrhea or vomiting — needs urgent rehydration and care.,Draft - pending clinical review
S000108,"Worm Infestation Symptoms (Itching, Visible Worms)",पेट के कीड़े के लक्षण,પેટના કીડાના લક્ષણો,Gastrointestinal,Gastrointestinal,Low,No,Yes,No,No,"Signs such as anal itching or visible worms in stool, common in children.",Draft - pending clinical review
S000109,Skin Rash,त्वचा पर चकत्ते,ત્વચા પર ચકામા,Skin,Skin,Low,No,Yes,Yes,Yes,"An area of irritated, discolored, or bumpy skin.",Draft - pending clinical review
S000110,Itching (Pruritus),खुजली,ખંજવાળ,Skin,Skin,Low,No,Yes,Yes,Yes,A sensation that causes the urge to scratch.,Draft - pending clinical review
S000111,Hives (Urticaria),पित्ती/शीतपित्त,શીળસ,Skin,Skin,Medium,No,Yes,Yes,Yes,"Raised, itchy welts on the skin, often from an allergic reaction.",Draft - pending clinical review
S000112,Skin Redness,त्वचा का लाल होना,ત્વચા લાલ થવી,Skin,Skin,Low,No,Yes,Yes,Yes,"Reddened skin, which can be caused by irritation, infection, or allergy.",Draft - pending clinical review
S000113,Dry Skin,त्वचा का रूखापन,ત્વચાની શુષ્કતા,Skin,Skin,Low,No,Yes,Yes,Yes,"Skin that feels rough, flaky, or lacks moisture.",Draft - pending clinical review
S000114,Skin Sores or Lesions,त्वचा पर घाव,ત્વચા પર ચાંદા,Skin,Skin,Medium,No,Yes,Yes,Yes,Open or abnormal areas on the skin that may need evaluation.,Draft - pending clinical review
S000115,Boils,फोड़े-फुंसी,ગૂમડાં,Skin,Skin,Medium,No,Yes,Yes,Yes,"Painful, pus-filled bumps under the skin caused by infection.",Draft - pending clinical review
S000116,Acne,मुंहासे,ખીલ,Skin,Skin,Low,No,Yes,Yes,No,"Inflamed spots or pimples, most common during adolescence.",Draft - pending clinical review
S000117,Skin Discoloration,त्वचा के रंग में बदलाव,ત્વચાના રંગમાં ફેરફાર,Skin,Skin,Low,No,Yes,Yes,Yes,"Patches of skin that appear lighter, darker, or differently colored than surrounding skin.",Draft - pending clinical review
S000118,Bruising Easily,आसानी से नील पड़ना,સહેલાઈથી ઉઝરડા પડવા,Skin,Skin,Medium,No,No,Yes,Yes,Developing bruises from minor bumps more easily than usual.,Draft - pending clinical review
S000119,Skin Peeling,त्वचा का उतरना,ત્વચા ઉખડવી,Skin,Skin,Low,No,Yes,Yes,Yes,"Shedding of the outer layer of skin, often after sunburn or infection.",Draft - pending clinical review
S000120,Blisters,छाले,ફોલ્લા,Skin,Skin,Medium,No,Yes,Yes,Yes,"Fluid-filled bumps on the skin caused by friction, burns, or infection.",Draft - pending clinical review
S000121,Hair Loss,बाल झड़ना,વાળ ખરવા,Skin,Skin,Low,No,No,Yes,Yes,Thinning or shedding of hair beyond the normal daily amount.,Draft - pending clinical review
