disease_id,disease_name,disease_name_hi,disease_name_gu,category,category_icon,priority,icd_code,communicable,outbreak_prone,specialist,urgency,symptoms,medicines,tests,diet
CAN004,Lung Cancer,फेफड़ों का कैंसर (Lung Cancer),ફેફસાંનું કેન્સર (Lung Cancer),Cancer & Oncology,🎗️,Very High,C34.9,False,False,Thoracic Medical Oncologist / Pulmonologist,Urgent Oncology Consultation,"['Persistent chronic cough (> 3 weeks)', 'Coughing up blood (Hemoptysis)', 'Shortness of breath', 'Unexplained weight loss', 'Chest pain', 'Hoarseness of voice']","['Osimertinib / Gefitinib (EGFR+)', 'Pembrolizumab (Immunotherapy)', 'Carboplatin + Pemetrexed']","['High-Resolution CT (HRCT) Chest', 'Bronchoscopy with EBUS-TBNA Biopsy', 'EGFR / ALK / ROS1 Genetic Mutation Panel']","High calorie, high protein anti-inflammatory diet."
CAN005,Colorectal Cancer (Colon Cancer),कोलोरेक्टल / आंतों का कैंसर (Colorectal Cancer),મોટા આંતરડાનું કેન્સર (Colorectal Cancer),Cancer & Oncology,🎗️,High,C18.9,False,False,Gastrointestinal Oncologist,Urgent Oncology Consultation,"['Blood in stool (Dark red or bright red)', 'Persistent change in bowel habits (Diarrhea/Constipation)', 'Unexplained weight loss', 'Abdominal cramps', 'Iron deficiency anemia']","['FOLFOX / FOLFIRI Regimens', 'Capecitabine', 'Bevacizumab']","['Full Colonoscopy with Biopsy', 'Fecal Occult Blood Test (FOBT)', 'Serum CEA Tumor Marker', 'Abdominal Contrast CT']","High soluble fiber, avoid red meat and ultra-processed cured meats."
CAN015,Leukemia (Blood Cancer),ब्लड कैंसर / ल्यूकेमिया (Leukemia / Blood Cancer),બ્લડ કેન્સર / લ્યુકેમિયા (Blood Cancer),Cancer & Oncology,🎗️,Very High,C95.9,False,False,Hematologist / Hemato-Oncologist,Critical / Urgent Hemato-Oncology Hospitalization,"['Severe unexplained fatigue & pallor', 'Frequent recurrent infections & fever', 'Easy bruising and petechial bleeding', 'Bleeding gums / nosebleeds', 'Unexplained weight loss & night sweats', 'Bone and joint pain', 'Swollen lymph nodes and spleen (Splenomegaly)']","['Imatinib / Dasatinib (for CML)', 'Cytarabine + Daunorubicin (for AML)', 'Supportive blood products (Platelets/PRBC)', 'Broad-spectrum antibiotics (Piperacillin-Tazobactam)']","['Complete Blood Count (CBC) with Peripheral Blood Smear (PBS)', 'Bone Marrow Aspiration & Biopsy', 'Flow Cytometry Immunophenotyping', 'Cytogenetics (Philadelphia Chromosome / BCR-ABL PCR)']","Strict neutropenic diet (well-cooked food, boiled water, strictly peel all fruits, no raw vegetables or salads)."
CAN016,Lymphoma (Hodgkin / Non-Hodgkin),लिम्फोमा कैंसर (Lymphoma),લિમ્ફોમા કેન્સર (Lymphoma),Cancer & Oncology,🎗️,High,C85.9,False,False,Hemato-Oncologist,Urgent Oncology Consultation,"['Painless enlarged lymph nodes in neck, armpit or groin', 'Drenching night sweats', 'Unexplained high fever (Pel-Ebstein fever)', 'Unexplained weight loss (> 10% in 6 months)', 'Severe generalized itching (Pruritus)']","['ABVD Regimen (for Hodgkin)', 'R-CHOP Regimen (for Non-Hodgkin)', 'Rituximab']","['Excisional Whole Lymph Node Biopsy with Histopathology', 'Whole Body PET-CT Scan', 'Bone Marrow Biopsy']","High protein, balanced clean wholesome diet."
CAN018,Brain / CNS Tumor,ब्रेन ट्यूमर / मस्तिष्क कैंसर (Brain Tumor),બ્રેઈન ટ્યુમર / મગજનું કેન્સર (Brain Tumor),Cancer & Oncology,🎗️,High,C71.9,False,False,Neurosurgeon / Neuro-Oncologist,Urgent Neurosurgical Consultation,"['New onset severe morning headaches with vomiting', 'New onset seizures / fits (Epileptic convulsions)', 'Progressive limb weakness or paralysis on one side', 'Vision loss or double vision', 'Personality and memory changes']","['Dexamethasone (to reduce brain edema)', 'Levetiracetam (Keppra) 500mg (Anti-seizure)', 'Temozolomide (Chemotherapy)', 'Mannitol']","['Brain MRI with Contrast (Spectroscopy)', 'Brain CT Scan', 'Stereotactic Brain Biopsy']","Anti-inflammatory, ketogenic or low glycemic index nutrition under clinical guidance."
MET001,Type 1 Diabetes Mellitus,टाइप 1 डायबिटीज (Type 1 Diabetes),ટાઈપ 1 ડાયાબિટીસ (Type 1 Diabetes),Diabetes & Metabolic Diseases,🩸,High,E10.9,False,False,Endocrinologist / Diabetologist,Urgent Clinical Attention (Risk of DKA),"['Excessive thirst (Polydipsia)', 'Frequent urination (Polyuria)', 'Extreme hunger (Polyphagia)', 'Rapid unexplained weight loss', 'Fruity breath odor (Ketones)', 'Fatigue and blurred vision']","['Insulin Glargine / Degludec (Basal)', 'Insulin Aspart / Lispro (Bolus Rapid)', 'Continuous Glucose Monitoring (CGM)']","['Fasting Blood Sugar & PPBS', 'HbA1c Glycated Hemoglobin', 'C-Peptide Fasting', 'Anti-GAD Antibodies', 'Urine Ketones']","Strict carbohydrate counting, complex low-GI carbs, structured meal timing."
MET002,Type 2 Diabetes Mellitus,टाइप 2 डायबिटीज / मधुमेह (Type 2 Diabetes),ટાઈપ 2 ડાયાબિટીસ (Type 2 Diabetes),Diabetes & Metabolic Diseases,🩸,Very High,E11.9,False,False,Diabetologist / Physician,Specialist Consultation (Ongoing Care),"['Increased thirst & urination', 'Slow healing wounds / sores', 'Tingling / numbness in feet (Neuropathy)', 'Frequent fungal infections', 'Blurry vision', 'Chronic fatigue']","['Metformin 500mg / 1000mg', 'Glimepiride 1mg/2mg', 'Dapagliflozin / Empagliflozin 10mg', 'Teneligliptin 20mg']","['Fasting Blood Glucose', 'Post-Prandial Blood Glucose', 'HbA1c (Target < 7.0%)', 'Urine Microalbumin/Creatinine Ratio']","Millets (Ragi, Jowar, Bajra), high dietary fiber, green vegetables, zero refined sugars, daily 30-min brisk walk."
MET007,Non-Alcoholic Fatty Liver Disease (NAFLD / MASLD),फैटी लिवर रोग (Fatty Liver Disease),ફેટી લિવર રોગ (NAFLD),Diabetes & Metabolic Diseases,🩸,High,K76.0,False,False,Gastroenterologist / Hepatologist,Specialist Consultation,"['Mild right upper abdomen discomfort', 'General fatigue', 'Abdominal bloating', 'Metabolic syndrome features']","['Saroglitazar 4mg', 'Vitamin E 400IU (for NASH without diabetes)', 'Ursodeoxycholic Acid (UDCA) 300mg']","['Liver Function Test (SGOT/SGPT)', 'Abdominal Ultrasound', 'FibroScan (Transient Elastography)', 'Lipid Profile']","Target 7-10% weight reduction, Mediterranean diet, eliminate all sugary beverages, fructose, and fried snacks."
RES001,Chronic Obstructive Pulmonary Disease (COPD),सीओपीडी / क्रॉनिक ऑब्सट्रक्टिव पल्मोनरी डिजीज (COPD),સીઓપીડી (COPD),Respiratory Diseases,🫁,Very High,J44.9,False,False,Pulmonologist / Chest Physician,Urgent Clinical Attention,"['Chronic progressive shortness of breath', 'Chronic morning cough with mucus', 'Wheezing and chest tightness', 'Frequent respiratory infections', 'Low blood oxygen levels']","['Tiotropium Inhaler (LAMA)', 'Formoterol + Budesonide Inhaler', 'Salbutamol MDI (SOS Rescue)', 'Home Oxygen Therapy']","['Spirometry / Pulmonary Function Test (PFT with Reversibility)', 'Chest X-Ray / HRCT', 'Arterial Blood Gas (ABG)', 'Pulse Oximetry']","Small frequent high-protein, calorie-dense meals; stay well hydrated to thin mucus; avoid indoor smoke/chulha."
RES002,Bronchial Asthma,अस्थमा / दमा (Asthma),અસ્થમા / દમ (Asthma),Respiratory Diseases,🫁,Very High,J45.9,False,False,Pulmonologist / Allergist,Urgent Clinical Attention,"['Recurrent wheezing', 'Breathlessness triggered by cold/dust/pollen', 'Nighttime or early morning cough', 'Chest tightness']","['Budesonide + Formoterol Inhaler (Foracort)', 'Levosalbutamol Inhaler (Asthalin SOS)', 'Montelukast 10mg']","['Spirometry with Bronchodilator Challenge', 'Fractional Exhaled Nitric Oxide (FeNO)', 'Total Serum IgE & Absolute Eosinophil Count (AEC)']","Avoid cold foods/beverages, preserve food free from allergens, practice pranayama/breathing exercises."
RES003,Pneumonia (Bacterial / Viral),निमोनिया (Pneumonia),ન્યુમોનિયા (Pneumonia),Respiratory Diseases,🫁,Very High,J18.9,True,False,Pulmonologist / General Physician,Urgent Clinical Attention,"['High fever with shaking chills', 'Cough with yellow/green or rust-colored phlegm', 'Sharp chest pain on breathing (Pleuritic)', 'Rapid shallow breathing', 'Extreme fatigue and low SpO2']","['Amoxicillin + Clavulanate (Augmentin) 625mg', 'Azithromycin 500mg', 'Ceftriaxone IV (for hospitalized patients)', 'Paracetamol 650mg']","['Chest X-Ray PA View', 'Complete Blood Count (Leukocytosis)', 'Sputum Culture & Sensitivity', 'Serum CRP / Procalcitonin']","Warm fluids, ginger-tulsi tea, high-calorie soups, plenty of hydration and steam."
RES004,Tuberculosis (Pulmonary TB),तपेदिक / टीबी (Tuberculosis),ક્ષય રોગ / ટીબી (Tuberculosis),Respiratory Diseases,🫁,Very High,A15.0,True,False,NTEP Chest Physician / Pulmonologist,Urgent Clinical Attention (NTEP Mandatory Reporting),"['Cough lasting more than 2 weeks', 'Coughing up blood (Hemoptysis)', 'Low-grade evening fever', 'Profuse night sweats', 'Unexplained severe weight loss and loss of appetite']","['NTEP 4-Drug FDC (Rifampicin, Isoniazid, Pyrazinamide, Ethambutol)', 'Pyridoxine (Vitamin B6) 10mg']","['CBNAAT / GeneXpert Sputum Test (MDR-TB screening)', 'Sputum AFB Smear Microscopy', 'Chest X-Ray PA View', 'Mantoux / IGRA Test']","High protein nutritional support (Nikshay Poshan Yojana), milk, eggs, pulses, soya and bananas."
INF003,Dengue Fever / Severe Dengue,डेंगू बुखार (Dengue Fever),ડેન્ગ્યુ તાવ (Dengue Fever),Infectious & Vector-Borne,🦠,Very High,A90,True,True,Infectious Disease Specialist / Physician,Urgent Clinical Monitoring (Risk of Plasma Leak),"['Sudden high fever (104°F)', 'Severe retro-orbital eye pain', 'Severe joint and muscle pain (Breakbone fever)', 'Skin rash', 'Bleeding from gums/nose', 'Severe abdominal pain and persistent vomiting']","['Paracetamol 650mg ONLY (Strictly AVOID Aspirin/Ibuprofen/NSAIDs)', 'Oral Rehydration Salts (ORS)', 'IV Ringer Lactate fluids (under medical supervision)']","['Dengue NS1 Antigen (Day 1-5)', 'Dengue IgM/IgG Antibody (Day 5+)', 'Daily Complete Blood Count (CBC for Platelets & Hematocrit)']","Extensive oral fluids (coconut water, ORS, fresh fruit juices, pomegrante), light khichdi."
INF004,Malaria (P. vivax / P. falciparum),मलेरिया बुखार (Malaria),મેલેરિયા તાવ (Malaria),Infectious & Vector-Borne,🦠,Very High,B54,True,True,Physician,Urgent Clinical Attention,"['High fever with intense shivering chills (Rigor)', 'Profuse sweating as fever drops', 'Severe headache and body ache', 'Nausea and vomiting', 'Anemia and mild jaundice']","['Artemether + Lumefantrine (ACT for Falciparum)', 'Chloroquine + Primaquine 14-day radical cure (for Vivax, check G6PD)']","['Rapid Diagnostic Test (RDT) Malaria Pf/Pv Antigen', 'Thick and Thin Blood Smear Giemsa Microscopy', 'CBC']","Adequate fluids, glucose water, high carbohydrate soft diet."
INF005,Typhoid / Enteric Fever,टाइफाइड / मियादी बुखार (Typhoid Fever),ટાઈફોઈડ તાવ (Typhoid),Infectious & Vector-Borne,🦠,High,A01.0,True,True,General Physician,Urgent Clinical Attention,"['Step-ladder rising persistent high fever', 'Severe headache and weakness', 'Stomach pain and constipation/diarrhea', 'Coated tongue (White coat)', 'Loss of appetite and rose spots']","['Azithromycin 500mg (Oral) OR Ceftriaxone 1g/2g IV', 'Paracetamol 650mg', 'Probiotics']","['Blood Culture (Gold standard in 1st week)', 'Widal Test (after Day 7-10)', 'TyphiDot IgM', 'Stool Culture']","Strict boiled water, soft bland diet (boiled rice, curd, boiled potatoes, soups); avoid spicy and raw food."
INF006,Cholera & Acute Secretory Diarrhea,हैजा / कॉलरा (Cholera),કોલેરા (Cholera),Infectious & Vector-Borne,🦠,High,A00.9,True,True,Emergency Physician / Infectious Diseases,Critical / Emergency Immediate Hospitalization,"[""Profuse painless watery 'rice-water' stools"", 'Rapid severe dehydration', 'Sunken eyes, dry mouth, skin tenting', 'Muscle cramps in legs', 'Rapid weak pulse and low BP']","['Aggressive WHO-ORS Solution', 'IV Ringer Lactate / Normal Saline', 'Doxycycline 300mg single dose OR Azithromycin 1g', 'Zinc Sulfate 20mg']","['Stool Hanging Drop Microscopy (Darting motility)', 'Stool Culture on TCBS Agar', 'Serum Electrolytes & Renal Function']","Continuous oral rehydration with WHO ORS, electrolyte fluids; boiled safe drinking water."
INF007,Chikungunya Fever,चिकनगुनिया बुखार (Chikungunya),ચિકનગુનિયા તાવ (Chikungunya),Infectious & Vector-Borne,🦠,High,A92.0,True,True,Physician / Rheumatologist,Specialist Consultation,"['Sudden onset high fever', 'Severe crippling polyarthralgia / joint pain (wrists, ankles, knees)', 'Joint swelling', 'Maculopapular skin rash', 'Nausea and fatigue']","['Paracetamol 650mg', 'NSAIDs (once Dengue excluded)', 'Hydrochloroquine (for chronic arthritis)']","['Chikungunya IgM ELISA', 'RT-PCR (within first 5 days)', 'CBC and CRP']","Anti-inflammatory diet (turmeric milk, ginger, omega-3, adequate hydration), gentle joint mobilization."
REN001,Chronic Kidney Disease (CKD),क्रॉनिक किडनी रोग (Chronic Kidney Disease),ક્રોનિક કિડની ડિસીઝ (CKD),Kidney & Renal Diseases,🫘,Very High,N18.9,False,False,Nephrologist,Specialist Consultation (Renal Management),"['Swelling around eyes (Periorbital edema) and feet', 'Decreased or foamy urine output', 'Chronic fatigue and pallor (Anemia)', 'Loss of appetite, metallic taste, nausea', 'High uncontrolled blood pressure', 'Persistent itchy skin (Uremic pruritus)']","['Erythropoietin (EPO) injections', 'Iron sucrose IV', 'Sodium Bicarbonate', 'Calcium Acetate / Sevelamer (Phosphate binder)', 'Telmisartan / Dapagliflozin (in early stages)']","['Serum Creatinine & Blood Urea Nitrogen (BUN)', 'Estimated GFR (eGFR)', 'Urine Albumin-to-Creatinine Ratio (UACR)', 'Ultrasound Kidneys & Bladder (KUB)']","Strict low sodium, restricted protein (0.6-0.8g/kg), low potassium (avoid coconut water, banana, citrus), restricted phosphorus."
REN003,End-Stage Renal Disease (Kidney Failure),किडनी फेलियर / अंतिम चरण गुर्दे की बीमारी (Kidney Failure),કિડની ફેલિયર (Kidney Failure),Kidney & Renal Diseases,🫘,Very High,N18.6,False,False,Nephrologist / Dialysis Unit,Critical / Urgent Dialysis Evaluation,"['Severe breathlessness (Fluid overload / pulmonary edema)', 'Marked oliguria/anuria (near zero urine)', 'Drowsiness, confusion, uremic encephalopathy', 'Severe intractable nausea and vomiting', 'Refractory high blood pressure']","['Hemodialysis / Peritoneal Dialysis', 'Diuretics (High dose loop diuretics)', 'Potassium binding resins (K-Bind)', 'Emergency Calcium Gluconate (if hyperkalemia)']","['Serum Electrolytes (Potassium - Urgent)', 'Arterial Blood Gas (ABG - Acidosis)', 'Serum Creatinine & Urea', 'ECG (Tall T waves)']","Strict fluid limit (< 1 liter total per 24 hours including all liquids), strict renal dialysis nutritional protocol."
NEU001,Epilepsy & Seizure Disorders,मिर्गी / दौरे का रोग (Epilepsy),વાઈ / ખેંચ / એપીલેપ્સી (Epilepsy),Neurological Diseases,🧠,High,G40.9,False,False,Neurologist,Urgent Clinical Attention (Emergency if Status Epilepticus),"['Uncontrollable jerking movements of arms and legs', 'Temporary loss of consciousness', 'Staring spells / blank staring', 'Tongue biting and urinary incontinence during seizure', 'Post-ictal confusion and sleepiness']","['Levetiracetam 500mg', 'Sodium Valproate 300mg/500mg', 'Carbamazepine 200mg', 'Midazolam Nasal Spray (Emergency rescue)']","['Electroencephalogram (EEG / Video EEG)', 'Brain MRI Epilepsy Protocol', 'Serum Calcium, Sodium, Blood Glucose']","Consistent meal and sleep schedule, ketogenic diet (in refractory childhood epilepsy), avoid flickering lights and sleep deprivation."
NEU004,Parkinson's Disease,पार्किंसंस रोग (Parkinson's Disease),પાર્કિન્સન્સ રોગ (Parkinson's),Neurological Diseases,🧠,High,G20,False,False,Movement Disorder Neurologist,Specialist Consultation,"['Resting tremor (Pill-rolling tremor in hands)', 'Muscle rigidity and stiffness', 'Slowness of movement (Bradykinesia)', 'Shuffling gait with loss of balance', 'Soft monotone voice and masked face']","['Levodopa + Carbidopa (Syndopa) 110mg/275mg', 'Pramipexole 0.5mg', 'Rasagiline 1mg', 'Trihexyphenidyl 2mg']","['Clinical Neurological Examination', 'Brain MRI (to rule out secondary parkinsonism)', 'DaTscan (where available)']","High fiber diet (to prevent constipation), separate protein intake from Levodopa dosing by 1 hour, daily physical balance therapy."
BLO001,Iron Deficiency Anemia,एनीमिया / खून की कमी (Iron Deficiency Anemia),એનિમિયા / લોહીની ઉણપ (Anemia),Blood Disorders,🩸,Very High,D50.9,False,False,Physician / Hematologist,Moderate Attention,"['Extreme fatigue and weakness', 'Pale skin, tongue and conjunctiva', 'Shortness of breath on mild exertion', 'Brittle nails / spoon nails (Koilonychia)', 'Cravings for non-food items like chalk/ice (Pica)']","['Ferrous Ascorbate + Folic Acid Tablets', 'Injectable Ferric Carboxymaltose (FCM) IV', 'Vitamin C (to enhance absorption)']","['Complete Blood Count (Hemoglobin & MCV)', 'Serum Ferritin', 'Total Iron Binding Capacity (TIBC)', 'Peripheral Smear (Microcytic Hypochromic)']","Jaggery (Gur), pomegranate, spinach, beetroot, chickpeas, dates, green leafy vegetables, amla."
BLO003,Sickle Cell Disease,सिकल सेल एनीमिया (Sickle Cell Disease),સિકલ સેલ એનિમિયા (Sickle Cell),Blood Disorders,🩸,Very High,D57.1,False,False,Hematologist,Urgent Clinical Attention (Crisis Care),"['Severe episodes of bone and chest pain (Vaso-occlusive crisis)', 'Chronic fatigue and jaundice', 'Swelling in hands and feet (Dactylitis)', 'Frequent infections', 'Delayed growth']","['Hydroxyurea 500mg', 'Folic Acid 5mg daily', 'Analgesics (Tramadol/Paracetamol for crisis)', 'Pneumococcal Vaccination']","['Hemoglobin Electrophoresis (HPLC)', 'Sickling Solubility Test', 'CBC with Reticulocyte Count']","High hydration (minimum 3-4 liters water daily), folic acid-rich foods, strictly avoid extreme cold, dehydration, and high altitudes."
LIV002,Liver Cirrhosis & Chronic Liver Failure,लिवर सिरोसिस / लिवर की बीमारी (Liver Cirrhosis),લિવર સિરોસિસ (Liver Cirrhosis),Liver & Digestive Diseases,🫀,High,K74.6,False,False,Gastroenterologist / Hepatologist,Urgent Clinical Attention,"['Severe yellowing of eyes and skin (Jaundice)', 'Swelling of abdomen (Ascites)', 'Vomiting blood (Esophageal variceal bleeding)', 'Confusion and altered sleep cycle (Hepatic encephalopathy)', 'Easy bruising and bleeding']","['Lactulose Syrup (to clear ammonia)', 'Rifaximin 550mg', 'Spironolactone + Furosemide', 'Propranolol 20mg (to prevent variceal bleeding)']","['Liver Function Test (Bilirubin, Albumin, SGOT/SGPT)', 'Prothrombin Time / INR (Coagulation)', 'Upper GI Endoscopy', 'Abdominal Ultrasound / CT']","Strict zero alcohol, restricted sodium (< 2g/day), adequate high-quality plant/dairy protein, frequent small meals."
ZOO002,Snakebite Envenoming,सर्पदंश / सांप का काटना (Snakebite Envenoming),સાપ કરડવો (Snakebite),Zoonotic & Emergency,🐍,Very High,T63.0,False,False,Emergency Medical Team,Critical / Emergency Immediate Hospitalization,"['Fang puncture marks with severe pain/swelling', 'Bleeding from bite wound and gums', 'Drooping eyelids (Ptosis), difficulty speaking/swallowing', 'Paralysis and respiratory arrest (Neurotoxic)', ""Dark reddish urine and kidney shutdown (Hemotoxic/Russell's viper)""]","['Polyvalent Anti-Snake Venom (ASV) IV (10 vials initial dose)', 'Neostigmine + Atropine (for neurotoxic bite)', 'Tetanus Toxoid Booster', 'IV Fluids']","['20-Minute Whole Blood Clotting Test (20WBCT - bedside)', 'Serum Creatinine / Electrolytes', 'Prothrombin Time / INR', 'Urine Routine (Hematuria)']",Strict NPO (Nil by mouth) during acute emergency management until airway and breathing secured.
ZOO001,Rabies Post-Exposure / Encephalitis,रेबीज / हाइड्रोफोबिया (Rabies),હડકવા (Rabies),Zoonotic & Emergency,🐍,Very High,A82.9,True,False,Infectious Disease / Anti-Rabies Clinic,Critical / Emergency Immediate Post-Exposure Prophylaxis,"['History of animal bite/scratch (Dog, cat, monkey)', 'Fear of water (Hydrophobia) and drafts of air (Aerophobia)', 'Agitation, confusion, and hyper-salivation', 'Fever and tingling at bite wound site', 'Paralysis and convulsions']","['Immediate wound washing with soap and running water for 15 mins', 'Anti-Rabies Vaccine (ARV) Day 0, 3, 7, 14, 28 (Intramuscular/Intradermal)', 'Rabies Immunoglobulin (RIG) infiltrated directly into wound (for Category III bites)']","['Clinical History of Exposure', 'Skin Biopsy nuchal / Saliva RT-PCR (Diagnostic in active cases)']",Preventive post-exposure prophylaxis is 100% lifesaving; symptomatic rabies has >99.9% fatality.
