disease_id,symptom_id,weight,required
D0069,S000005,5,No
D0069,S000154,4,No
D0070,S000074,5,No
D0070,S000154,4,No
D0070,S000009,3,No
D0071,S000181,8,Yes
D0071,S000193,6,No
D0071,S000008,5,No
D0071,S000116,4,No
D0072,S000183,8,Yes
D0072,S000188,7,No
D0072,S000196,5,No
D0073,S000182,8,Yes
D0073,S000188,5,No
D0073,S000098,4,No
D0074,S000188,7,No
D0074,S000197,7,No
D0074,S000185,6,No
D0075,S000014,7,No
D0075,S000005,6,No
D0075,S000006,5,No
D0076,S000199,9,Yes
D0076,S000210,5,No
D0076,S000018,5,No
D0077,S000010,6,No
D0077,S000226,6,No
D0077,S000005,4,No
D0078,S000187,7,No
D0078,S000195,6,No
D0078,S000196,4,No
D0079,S000189,9,Yes
D0079,S000191,5,No
D0079,S000190,3,No
D0080,S000192,8,Yes
D0080,S000181,5,No
D0080,S000155,4,No
D0081,S000206,9,Yes
D0081,S000250,6,No
D0081,S000251,5,No
D0082,S000202,5,No
D0082,S000250,5,No
D0082,S000238,4,No
D0083,S000205,9,Yes
D0084,S000201,10,Yes
D0084,S000200,7,No
D0084,S000086,4,No
D0085,S000089,8,Yes
D0085,S000277,7,No
D0085,S000087,5,No
D0085,S000001,4,No
D0086,S000273,7,No
D0086,S000023,5,No
D0086,S000001,5,No
D0086,S000030,5,No
D0087,S000275,10,Yes
D0087,S000002,6,No
D0088,S000017,9,Yes
D0088,S000278,6,No
D0088,S000145,4,No
D0089,S000260,6,No
D0089,S000170,4,No
D0090,S000140,6,No
D0090,S000017,5,No
D0090,S000134,4,No
D0091,S000110,8,Yes
D0091,S000109,6,No
D0091,S000113,5,No
D0092,S000117,6,No
D0092,S000119,6,No
D0092,S000110,5,No
D0093,S000117,9,Yes
D0094,S000210,8,Yes
D0094,S000224,5,No
D0095,S000210,5,No
D0095,S000212,5,No
D0095,S000223,6,No
D0096,S000210,8,Yes
D0096,S000224,4,No
D0097,S000167,8,Yes
D0097,S000170,5,No
D0097,S000001,4,No
D0097,S000168,4,No
D0098,S000037,8,Yes
D0098,S000034,6,No
D0098,S000176,4,No
D0099,S000035,7,No
D0099,S000215,6,No
D0099,S000034,5,No
D0100,S000135,9,Yes
D0100,S000141,6,No
D0100,S000139,5,No
D0101,S000061,9,Yes
D0101,S000136,6,No
