disease_id,disease_name,disease_name_hi,disease_name_gu,category,category_icon,priority,icd_code,communicable,outbreak_prone,specialist,urgency,symptoms,medicines,tests,diet
CVD011,Cardiomyopathy (Dilated / Hypertrophic),कार्डियोमायोपैथी (Cardiomyopathy),કાર્ડિયોમાયોપેથી (Cardiomyopathy),Cardiovascular Diseases,,Medium,I42.9,False,False,Cardiologist,Specialist Consultation,"['Breathlessness', 'Chest pain', 'Fainting episodes (Syncope)', 'Palpitations', 'Swollen abdomen and legs']","['Beta Blockers (Bisoprolol)', 'ACE Inhibitors', 'Spironolactone']","['Cardiac MRI', '2D Echo with Strain Imaging', 'Holter Monitor 24h']","Low sodium, avoid strenuous unmonitored exertion."
CAN001,Breast Cancer,स्तन कैंसर (Breast Cancer),સ્તન કેન્સર (Breast Cancer),Cancer & Oncology,,Very High,C50.9,False,False,Surgical / Medical Oncologist,Urgent Oncology Consultation,"['Painless breast lump or thickening', 'Change in breast shape/size', 'Nipple discharge (bloody/clear)', 'Skin dimpling', 'Swollen underarm lymph nodes']","['Tamoxifen 20mg', 'Anastrozole 1mg', 'Trastuzumab', 'Chemotherapy (Doxorubicin/Paclitaxel)']","['Digital Bilateral Mammography', 'Breast Ultrasound', 'Tru-Cut Biopsy / FNAC', 'ER/PR/HER2 IHC Panel']","Antioxidant-rich whole foods, cruciferous vegetables (broccoli), zero alcohol."
CAN002,Cervical Cancer,गर्भाशय ग्रीवा का कैंसर (Cervical Cancer),ગર્ભાશયના મુખનું કેન્સર (Cervical Cancer),Cancer & Oncology,,Very High,C53.9,False,False,Gynaecological Oncologist,Urgent Oncology Consultation,"['Abnormal vaginal bleeding between periods', 'Post-coital bleeding', 'Foul-smelling vaginal discharge', 'Pelvic pain']","['Cisplatin', 'Paclitaxel', 'Carboplatin', 'Bevacizumab']","['Pap Smear Screening', 'HPV DNA High-Risk Testing', 'Colposcopy with Directed Biopsy', 'Pelvic MRI']","High folate and carotenoid foods (spinach, carrots, citrus fruits)."
CAN003,Oral / Mouth Cancer,मुंह का कैंसर (Oral / Mouth Cancer),મોંનું કેન્સર (Oral Cancer),Cancer & Oncology,,Very High,C06.9,False,False,Head & Neck Oncosurgeon,Urgent Oncology Consultation,"['Non-healing mouth ulcer (> 2 weeks)', 'White/red patches in mouth (Leukoplakia)', 'Difficulty chewing/swallowing', 'Lump in neck/jaw', 'Restricted mouth opening']","['Chemotherapy (Cisplatin + 5-FU)', 'Cetuximab', 'Pain management (Morphine/Tramadol)']","['Incisional Biopsy of Oral Lesion', 'CT / MRI Neck and Face', 'PET-CT Whole Body']","Soft non-spicy nutrient-dense diet; immediate cessation of tobacco, betel nut (Gutkha), and smoking."
CAN004,Lung Cancer,फेफड़ों का कैंसर (Lung Cancer),ફેફસાંનું કેન્સર (Lung Cancer),Cancer & Oncology,,Very High,C34.9,False,False,Thoracic Medical Oncologist / Pulmonologist,Urgent Oncology Consultation,"['Persistent chronic cough (> 3 weeks)', 'Coughing up blood (Hemoptysis)', 'Shortness of breath', 'Unexplained weight loss', 'Chest pain', 'Hoarseness']","['Osimertinib / Gefitinib (EGFR+)', 'Pembrolizumab (Immunotherapy)', 'Carboplatin + Pemetrexed']","['High-Resolution CT (HRCT) Chest', 'Bronchoscopy with EBUS-TBNA Biopsy', 'EGFR / ALK / ROS1 Genetic Panel']","High calorie, high protein anti-inflammatory diet."
CAN005,Colorectal Cancer (Colon & Rectal),कोलोरेक्टल / आंतों का कैंसर (Colorectal Cancer),મોટા આંતરડાનું કેન્સર (Colorectal Cancer),Cancer & Oncology,,High,C18.9,False,False,Gastrointestinal Oncologist,Urgent Oncology Consultation,"['Blood in stool (Dark red or bright red)', 'Persistent change in bowel habits (Diarrhea/Constipation)', 'Unexplained weight loss', 'Abdominal cramps', 'Iron deficiency anemia']","['FOLFOX / FOLFIRI Regimens', 'Capecitabine', 'Bevacizumab']","['Full Colonoscopy with Biopsy', 'Fecal Occult Blood Test (FOBT)', 'Serum CEA Tumor Marker', 'Abdominal CT']","High soluble fiber, avoid red meat and ultra-processed cured meats."
CAN006,Stomach / Gastric Cancer,पेट का कैंसर (Stomach / Gastric Cancer),જઠરનું કેન્સર (Stomach Cancer),Cancer & Oncology,,High,C16.9,False,False,GI Surgical Oncologist,Urgent Oncology Consultation,"['Persistent indigestion and heartburn', 'Early satiety (feeling full after small bites)', 'Vomiting blood or coffee-ground vomit', 'Black tarry stools (Melena)', 'Weight loss']","['FLOT Chemotherapy Regimen', 'Trastuzumab (if HER2+)', 'Capecitabine + Oxaliplatin']","['Upper GI Endoscopy with Biopsy', 'CT Abdomen & Pelvis', 'H. pylori Testing']","Small frequent bland meals, avoid salty preserved foods and pickled items."
CAN007,Liver Cancer (Hepatocellular Carcinoma),लिवर कैंसर (Liver Cancer / HCC),લિવર કેન્સર (Liver Cancer),Cancer & Oncology,,High,C22.0,False,False,Hepatologist / Hepato-Biliary Oncosurgeon,Urgent Oncology Consultation,"['Right upper quadrant abdominal pain', 'Severe jaundice', 'Swelling of abdomen (Ascites)', 'Unexplained weight loss and fatigue', 'Enlarged hard liver (Hepatomegaly)']","['Atezolizumab + Bevacizumab', 'Sorafenib / Lenvatinib 4mg/8mg']","['Serum Alpha-Fetoprotein (AFP)', 'Triple Phase Contrast CT Abdomen / MRI', 'Liver Biopsy']","Low sodium (< 2g/day), adequate clean protein, zero alcohol."
CAN008,Prostate Cancer,प्रोस्टेट कैंसर (Prostate Cancer),પ્રોસ્ટેટ કેન્સર (Prostate Cancer),Cancer & Oncology,,High,C61,False,False,Uro-Oncologist,Specialist Oncology Consultation,"['Difficulty starting or stopping urination', 'Weak or interrupted urine flow', 'Frequent urination especially at night', 'Blood in urine or semen', 'Bone pain in hips/lower back']","['Bicalutamide 50mg', 'Leuprolide / Goserelin Injections (Androgen Deprivation)', 'Enzalutamide']","['Serum Prostate-Specific Antigen (Total & Free PSA)', 'Digital Rectal Examination (DRE)', 'Multiparametric Prostate MRI (mpMRI)', 'TRUS-Guided Biopsy']","Lycopene-rich foods (cooked tomatoes), green tea, pomegranate, cruciferous vegetables."
CAN009,Ovarian Cancer,अंडाशय का कैंसर (Ovarian Cancer),અંડાશયનું કેન્સર (Ovarian Cancer),Cancer & Oncology,,High,C56.9,False,False,Gynaecological Oncologist,Urgent Oncology Consultation,"['Persistent abdominal bloating and swelling', 'Quickly feeling full when eating', 'Pelvic and lower abdominal pain', 'Frequent urgent need to urinate', 'Fatigue and weight loss']","['Carboplatin + Paclitaxel', 'PARP Inhibitors (Olaparib)', 'Bevacizumab']","['Serum CA-125 Tumor Marker', 'Transvaginal Ultrasound (TVS)', 'CECT Abdomen and Pelvis', 'BRCA1 / BRCA2 Genetic Testing']",High protein wholesome anti-inflammatory nutrition.
CAN010,Esophageal / Food Pipe Cancer,भोजन नली का कैंसर (Esophageal Cancer),અન્નનળીનું કેન્સર (Esophageal Cancer),Cancer & Oncology,,High,C15.9,False,False,GI Surgical Oncologist,Urgent Oncology Consultation,"['Progressive difficulty swallowing (Dysphagia - solids first, then liquids)', 'Painful swallowing (Odynophagia)', 'Chest pain or burning sensation', 'Regurgitation of food', 'Significant weight loss']","['Chemotherapy (CROSS Regimen: Paclitaxel + Carboplatin)', 'Radiation therapy', 'Pain management']","['Upper GI Endoscopy with Biopsy', 'Barium Swallow X-Ray', 'CT Chest and Abdomen', 'Endoscopic Ultrasound (EUS)']","Soft, pureed, high-calorie liquid nutrition; avoid hot beverages and irritants."
CAN014,Thyroid Cancer,थायरॉइड कैंसर (Thyroid Cancer),થાઇરોઇડ કેન્સર (Thyroid Cancer),Cancer & Oncology,,Medium,C73,False,False,Endocrine Surgeon / Oncosurgeon,Specialist Consultation,"['Painless growing lump/nodule in front of neck', 'Hoarseness of voice (Vocal cord palsy)', 'Difficulty swallowing or breathing', 'Swollen neck lymph nodes']","['Levothyroxine (TSH suppression therapy)', 'Radioactive Iodine (RAI - I-131)', 'Lenvatinib / Sorafenib']","['High-Resolution Neck Ultrasound', 'USG-Guided FNAC (Fine Needle Aspiration)', 'Serum Thyroglobulin', 'Serum Calcitonin (for Medullary)']",Iodine-adjusted diet depending on radioactive iodine therapy timing.
CAN015,Leukemia (Blood Cancer),ब्लड कैंसर / ल्यूकेमिया (Leukemia / Blood Cancer),બ્લડ કેન્સર / લ્યુકેમિયા (Blood Cancer),Cancer & Oncology,,Very High,C95.9,False,False,Hematologist / Hemato-Oncologist,Critical / Urgent Hemato-Oncology Hospitalization,"['Severe unexplained fatigue & pallor', 'Frequent recurrent infections & fever', 'Easy bruising and petechial bleeding', 'Bleeding gums / nosebleeds', 'Unexplained weight loss & night sweats', 'Bone and joint pain', 'Swollen lymph nodes and spleen (Splenomegaly)']","['Imatinib / Dasatinib (for CML)', 'Cytarabine + Daunorubicin (for AML)', 'Supportive blood products (Platelets/PRBC)', 'Piperacillin-Tazobactam']","['Complete Blood Count (CBC) with Peripheral Blood Smear (PBS)', 'Bone Marrow Aspiration & Biopsy', 'Flow Cytometry Immunophenotyping', 'Cytogenetics (Philadelphia Chromosome / BCR-ABL PCR)']","Strict neutropenic diet (well-cooked food, boiled water, strictly peel all fruits, zero raw salads)."
CAN016,Lymphoma (Hodgkin / Non-Hodgkin),लिम्फोमा कैंसर (Lymphoma),લિમ્ફોમા કેન્સર (Lymphoma),Cancer & Oncology,,High,C85.9,False,False,Hemato-Oncologist,Urgent Oncology Consultation,"['Painless enlarged lymph nodes in neck, armpit or groin', 'Drenching night sweats', 'Unexplained high fever (Pel-Ebstein fever)', 'Unexplained weight loss (> 10% in 6 months)', 'Severe generalized itching (Pruritus)']","['ABVD Regimen (for Hodgkin)', 'R-CHOP Regimen (for Non-Hodgkin)', 'Rituximab']","['Excisional Whole Lymph Node Biopsy with Histopathology', 'Whole Body PET-CT Scan', 'Bone Marrow Biopsy']","High protein, balanced clean wholesome diet."
CAN017,Multiple Myeloma (Bone Marrow Plasma Cancer),मल्टीपल मायलोमा (Multiple Myeloma),મલ્ટીપલ માયલોમા (Multiple Myeloma),Cancer & Oncology,,Medium,C90.0,False,False,Hemato-Oncologist,Specialist Oncology Consultation,"['Persistent deep bone pain (especially spine, ribs, hips)', 'Pathological bone fractures', 'Unexplained kidney failure', 'High blood calcium (Hypercalcemia)', 'Fatigue and anemia (CRAB criteria)']","['Bortezomib (Velcade)', 'Lenalidomide 10mg/25mg', 'Dexamethasone', 'Bisphosphonates (Zoledronic Acid)']","['Serum Protein Electrophoresis (SPEP - M Band)', 'Serum Free Light Chains (Kappa/Lambda)', 'Bone Marrow Biopsy', 'Whole Body Low-Dose CT (Skeletal Survey)']","High hydration (minimum 3 liters/day to protect kidneys), avoid nephrotoxic NSAIDs."
CAN018,Brain / CNS Tumor,ब्रेन ट्यूमर / मस्तिष्क कैंसर (Brain Tumor),બ્રેઈન ટ્યુમર / મગજનું કેન્સર (Brain Tumor),Cancer & Oncology,,High,C71.9,False,False,Neurosurgeon / Neuro-Oncologist,Urgent Neurosurgical Consultation,"['New onset severe morning headaches with vomiting', 'New onset seizures / fits (Epileptic convulsions)', 'Progressive limb weakness or paralysis on one side', 'Vision loss or double vision', 'Personality and memory changes']","['Dexamethasone (to reduce brain edema)', 'Levetiracetam (Keppra) 500mg', 'Temozolomide', 'Mannitol']","['Brain MRI with Contrast (Spectroscopy)', 'Brain CT Scan', 'Stereotactic Brain Biopsy']","Anti-inflammatory, ketogenic or low glycemic index nutrition under clinical supervision."
CAN019,Bone Cancer (Osteosarcoma / Ewing Sarcoma),हड्डियों का कैंसर (Bone Cancer / Osteosarcoma),હાડકાંનું કેન્સર (Bone Cancer),Cancer & Oncology,,Medium,C40.9,False,False,Orthopaedic Oncosurgeon,Urgent Oncology Consultation,"['Persistent deep bone pain worsening at night', 'Visible firm swelling/lump on bone', 'Limping or difficulty bearing weight', 'Pathological fracture from trivial injury']","['MAP Regimen (Methotrexate, Doxorubicin, Cisplatin)', 'Ifosfamide + Etoposide', 'Pain relief analgesics']","['X-Ray of Affected Bone (Sunburst / Onion-skin appearance)', 'MRI of Affected Limb', 'Core Needle Bone Biopsy', 'Chest CT (to rule out lung metastasis)']","High calcium, vitamin D, and high calorie-protein diet for tissue healing."
MET001,Type 1 Diabetes Mellitus,टाइप 1 डायबिटीज (Type 1 Diabetes),ટાઈપ 1 ડાયાબિટીસ (Type 1 Diabetes),Diabetes & Metabolic Diseases,,High,E10.9,False,False,Endocrinologist / Diabetologist,Urgent Clinical Attention (Risk of DKA),"['Excessive thirst (Polydipsia)', 'Frequent urination (Polyuria)', 'Extreme hunger (Polyphagia)', 'Rapid unexplained weight loss', 'Fruity breath odor (Ketones)', 'Fatigue and blurred vision']","['Insulin Glargine / Degludec (Basal)', 'Insulin Aspart / Lispro (Bolus Rapid)', 'Continuous Glucose Monitoring (CGM)']","['Fasting Blood Sugar & PPBS', 'HbA1c Glycated Hemoglobin', 'C-Peptide Fasting', 'Anti-GAD Antibodies', 'Urine Ketones']","Strict carbohydrate counting, complex low-GI carbs, structured meal timing."
MET002,Type 2 Diabetes Mellitus,टाइप 2 डायबिटीज / मधुमेह (Type 2 Diabetes),ટાઈપ 2 ડાયાબિટીસ (Type 2 Diabetes),Diabetes & Metabolic Diseases,,Very High,E11.9,False,False,Diabetologist / Physician,Specialist Consultation (Ongoing Care),"['Increased thirst & urination', 'Slow healing wounds / sores', 'Tingling / numbness in feet (Neuropathy)', 'Frequent fungal infections', 'Blurry vision', 'Chronic fatigue']","['Metformin 500mg / 1000mg', 'Glimepiride 1mg/2mg', 'Dapagliflozin / Empagliflozin 10mg', 'Teneligliptin 20mg']","['Fasting Blood Glucose', 'Post-Prandial Blood Glucose', 'HbA1c (Target < 7.0%)', 'Urine Microalbumin/Creatinine Ratio']","Millets (Ragi, Jowar, Bajra), high dietary fiber, green vegetables, zero refined sugars, daily 30-min brisk walk."
MET003,Gestational Diabetes Mellitus (GDM),गर्भावस्था में डायबिटीज (Gestational Diabetes),ગર્ભાવસ્થામાં ડાયાબિટીસ (GDM),Diabetes & Metabolic Diseases,,High,O24.4,False,False,Obstetrician & Endocrinologist,Specialist Consultation,"['High blood sugar detected during pregnancy screening', 'Excessive thirst', 'Frequent urination', 'Excessive fetal growth on ultrasound']","['Human Insulin (Regular/NPH)', 'Metformin (under specialist guidance)']","['Oral Glucose Tolerance Test (OGTT 75g)', 'Fasting and Post-Meal Blood Glucose', 'Obstetric Ultrasound (Fetal Wellbeing)']",Balanced low-GI maternal meal plan divided into 3 main meals and 3 healthy snacks.
MET005,Obesity & Metabolic Syndrome,मोटापा और मेटाबोलिक सिंड्रोम (Obesity & Metabolic Syndrome),સ્થૂળતા અને મેટાબોલિક સિન્ડ્રોમ (Obesity),Diabetes & Metabolic Diseases,,High,E66.9,False,False,Bariatric / Metabolic Physician,Lifestyle & Clinical Consultation,"['Excessive visceral abdominal fat', 'BMI >= 25 kg/m2 (Asian Indian criteria)', 'Breathlessness with minor activity', 'Joint pain in knees/back', 'Snoring and daytime sleepiness']","['Semaglutide / Tirzepatide (under prescription)', 'Orlistat 120mg']","['Lipid Profile', 'Fasting Glucose & Insulin Resistance (HOMA-IR)', 'Liver Function Test', 'Thyroid Profile (TSH)']","Caloric deficit diet (-500 kcal/day), high protein, intermittent fasting, structured strength & aerobic training."
MET007,Non-Alcoholic Fatty Liver Disease (NAFLD / MASLD),फैटी लिवर रोग (Fatty Liver Disease),ફેટી લિવર રોગ (NAFLD),Diabetes & Metabolic Diseases,,High,K76.0,False,False,Gastroenterologist / Hepatologist,Specialist Consultation,"['Mild right upper abdomen discomfort', 'General fatigue', 'Abdominal bloating', 'Metabolic syndrome features']","['Saroglitazar 4mg', 'Vitamin E 400IU', 'Ursodeoxycholic Acid (UDCA) 300mg']","['Liver Function Test (SGOT/SGPT)', 'Abdominal Ultrasound', 'FibroScan (Transient Elastography)', 'Lipid Profile']","Target 7-10% weight reduction, Mediterranean diet, eliminate all sugary beverages, fructose, and fried snacks."
MET008,Dyslipidemia & Hypercholesterolemia,हाई कोलेस्ट्रॉल / डिस्लिपिडेमिया (High Cholesterol),હાઈ કોલેસ્ટ્રોલ (Dyslipidemia),Diabetes & Metabolic Diseases,,High,E78.5,False,False,Physician / Cardiologist,Specialist Consultation,"['Asymptomatic in early stages', 'Yellowish fatty deposits around eyes (Xanthelasma)', 'Chest pain on exertion (if advanced atherosclerosis)']","['Atorvastatin 10mg/20mg', 'Rosuvastatin 10mg', 'Ezetimibe 10mg', 'Fenofibrate (for high triglycerides)']","['Fasting Lipid Profile (Total Cholesterol, LDL, HDL, Triglycerides)', 'ApoB / Lipoprotein(a)']","Zero trans fats, rich in soluble fiber (psyllium husk, oats, legumes), walnuts, flaxseeds, olive/mustard oil."
RES001,Chronic Obstructive Pulmonary Disease (COPD),सीओपीडी / क्रॉनिक ऑब्सट्रक्टिव पल्मोनरी डिजीज (COPD),સીઓપીડી (COPD),Respiratory Diseases,,Very High,J44.9,False,False,Pulmonologist / Chest Physician,Urgent Clinical Attention,"['Chronic progressive shortness of breath', 'Chronic morning cough with mucus', 'Wheezing and chest tightness', 'Frequent respiratory infections', 'Low blood oxygen levels']","['Tiotropium Inhaler (LAMA)', 'Formoterol + Budesonide Inhaler', 'Salbutamol MDI (SOS Rescue)', 'Home Oxygen Therapy']","['Spirometry / Pulmonary Function Test (PFT with Reversibility)', 'Chest X-Ray / HRCT', 'Arterial Blood Gas (ABG)', 'Pulse Oximetry']",Small frequent high-protein meals; stay well hydrated to thin mucus; avoid indoor smoke/chulha.
RES002,Bronchial Asthma,अस्थमा / दमा (Asthma),અસ્થમા / દમ (Asthma),Respiratory Diseases,,Very High,J45.9,False,False,Pulmonologist / Allergist,Urgent Clinical Attention,"['Recurrent wheezing', 'Breathlessness triggered by cold/dust/pollen', 'Nighttime or early morning cough', 'Chest tightness']","['Budesonide + Formoterol Inhaler (Foracort)', 'Levosalbutamol Inhaler (Asthalin SOS)', 'Montelukast 10mg']","['Spirometry with Bronchodilator Challenge', 'Fractional Exhaled Nitric Oxide (FeNO)', 'Total Serum IgE & Absolute Eosinophil Count (AEC)']","Avoid cold foods/beverages, keep home dust-free, practice pranayama/breathing exercises."
RES003,Pneumonia (Bacterial / Viral),निमोनिया (Pneumonia),ન્યુમોનિયા (Pneumonia),Respiratory Diseases,,Very High,J18.9,True,False,Pulmonologist / General Physician,Urgent Clinical Attention,"['High fever with shaking chills', 'Cough with yellow/green phlegm', 'Sharp chest pain on breathing (Pleuritic)', 'Rapid shallow breathing', 'Extreme fatigue and low SpO2']","['Amoxicillin + Clavulanate (Augmentin) 625mg', 'Azithromycin 500mg', 'Ceftriaxone IV', 'Paracetamol 650mg']","['Chest X-Ray PA View', 'Complete Blood Count (Leukocytosis)', 'Sputum Culture & Sensitivity', 'Serum CRP / Procalcitonin']","Warm fluids, ginger-tulsi tea, high-calorie soups, plenty of hydration and steam."
RES004,Tuberculosis (Pulmonary TB),तपेदिक / टीबी (Tuberculosis),ક્ષય રોગ / ટીબી (Tuberculosis),Respiratory Diseases,,Very High,A15.0,True,False,NTEP Chest Physician / Pulmonologist,Urgent Clinical Attention (NTEP Mandatory Reporting),"['Cough lasting more than 2 weeks', 'Coughing up blood (Hemoptysis)', 'Low-grade evening fever', 'Profuse night sweats', 'Unexplained severe weight loss and loss of appetite']","['NTEP 4-Drug FDC (Rifampicin, Isoniazid, Pyrazinamide, Ethambutol)', 'Pyridoxine (Vitamin B6) 10mg']","['CBNAAT / GeneXpert Sputum Test', 'Sputum AFB Smear Microscopy', 'Chest X-Ray PA View', 'Mantoux / IGRA Test']","High protein nutritional support (Nikshay Poshan Yojana), milk, eggs, pulses, soya and bananas."
RES007,Pulmonary Fibrosis / ILD,पल्मोनरी फाइब्रोसिस (Pulmonary Fibrosis),પલ્મોનરી ફાઈબ્રોસિસ (Pulmonary Fibrosis),Respiratory Diseases,,Medium,J84.1,False,False,Pulmonologist,Specialist Consultation,"['Progressive dry hacking cough', 'Severe breathlessness with minor activity', 'Velcro-like crackles in lungs', 'Clubbing of fingernails']","['Pirfenidone 200mg/800mg', 'Nintedanib 100mg/150mg', 'N-Acetylcysteine (NAC) 600mg', 'Supplemental Oxygen']","['High-Resolution CT (HRCT) Chest', 'Diffusion Capacity of Lungs (DLCO)', '6-Minute Walk Test (6MWT)']","Nutritious easily digestible food, pulmonary rehabilitation exercises, avoid air pollution."
INF001,HIV / AIDS,एचआईवी / एड्स (HIV / AIDS),એચઆઈવી / એઇડ્સ (HIV / AIDS),Infectious & Vector-Borne,,Very High,B24,True,False,NACO ART Specialist / Infectious Diseases,Specialist Consultation (ART Center),"['Prolonged unexplained fever (> 1 month)', 'Chronic diarrhea (> 1 month)', 'Significant weight loss (Wasting syndrome)', 'Recurrent oral thrush (Fungal candidiasis)', 'Swollen lymph nodes']","['NACO First-Line ART (Tenofovir + Lamivudine + Dolutegravir - TLD Single Tablet)', 'Cotrimoxazole (Septran) Prophylaxis']","['Rapid HIV 1 & 2 Antibody Screening', 'CD4 Count', 'HIV Viral Load (RT-PCR)']","Clean hygienic nutrition, well-cooked meals, boiled water, multivitamin support."
