disease_id,disease_name,disease_name_hi,disease_name_gu,icd_code,category,description,body_system,source
D0014,Leptospirosis,लेप्टोस्पायरोसिस,લેપ્ટોસ્પાયરોસિસ,A27,Infectious Diseases,"A bacterial infection spread through water contaminated with animal urine, more common after flooding.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0015,Rabies,रेबीज़,હડકવા,A82,Infectious Diseases,"A viral infection transmitted through animal bites, almost always fatal once symptoms appear; preventable with prompt vaccination.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0016,COVID-19,कोविड-19,કોવિડ-19,U07.1,Infectious Diseases,A viral respiratory infection that can range from mild cold-like symptoms to severe pneumonia.,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0017,Seasonal Influenza,मौसमी इन्फ्लुएंजा (फ्लू),મોસમી ઇન્ફ્લુએન્ઝા (ફ્લૂ),J11,Infectious Diseases,"A common viral respiratory infection causing fever, body ache, and cough, more frequent during seasonal changes.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0018,Pneumonia,निमोनिया,ન્યુમોનિયા,J18,Infectious Diseases,"An infection that inflames the air sacs in one or both lungs, which can be bacterial or viral.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0019,Measles,खसरा,ઓરી,B05,Infectious Diseases,"A highly contagious viral infection causing fever and a characteristic rash, preventable by vaccination.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0020,Chickenpox,छोटी माता (चिकनपॉक्स),અછબડા,B01,Infectious Diseases,"A contagious viral infection causing an itchy, blister-like rash, mainly in children.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0021,Mumps,गलसुआ (कण्ठमाला),ગાલપચોળિયાં,B26,Infectious Diseases,A viral infection causing painful swelling of the salivary glands.,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0022,HIV/AIDS,एचआईवी/एड्स,એચઆઈવી/એઇડ્સ,B20,Infectious Diseases,A viral infection that attacks the immune system; manageable long-term with antiretroviral therapy.,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0023,Scrub Typhus,स्क्रब टाइफस,સ્ક્રબ ટાઇફસ,A75.3,Infectious Diseases,"A bacterial infection spread by mite bites, causing fever, headache, and a characteristic skin eschar.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0024,Urinary Tract Infection (UTI),मूत्र मार्ग संक्रमण,પેશાબની નળીનો ચેપ,N39.0,Infectious Diseases,A bacterial infection of the urinary tract causing burning urination and urgency.,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0025,Food Poisoning,खाद्य विषाक्तता,ખોરાકનું ઝેર,A05,Infectious Diseases,"Illness caused by eating contaminated food, leading to vomiting, diarrhea, and abdominal pain.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0026,Intestinal Worm Infestation,पेट के कीड़े,પેટના કીડા,B82,Infectious Diseases,"Infection with intestinal parasites, common in areas with limited sanitation, especially in children.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0027,Fungal Skin Infection (Ringworm),दाद (फंगल संक्रमण),દાદર (ફૂગનો ચેપ),B35,Infectious Diseases,"A common fungal infection of the skin causing an itchy, ring-shaped rash, more frequent in hot, humid climates.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0028,Scabies,खुजली रोग (स्केबीज़),ખૂજલી (સ્કેબીઝ),B86,Infectious Diseases,"A contagious skin infestation by mites causing intense itching, especially at night.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0029,Type 2 Diabetes Mellitus,टाइप 2 मधुमेह,ટાઇપ 2 ડાયાબિટીસ,E11,Non-Communicable Disease,"A chronic condition where the body does not use insulin effectively, leading to high blood sugar; a major and rising health concern in India.",Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0030,Type 1 Diabetes Mellitus,टाइप 1 मधुमेह,ટાઇપ 1 ડાયાબિટીસ,E10,Non-Communicable Disease,"An autoimmune condition where the body produces little or no insulin, usually diagnosed in childhood or young adulthood.",Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0031,Hypertension (High Blood Pressure),उच्च रक्तचाप,હાઈ બ્લડ પ્રેશર,I10,Non-Communicable Disease,Persistently elevated blood pressure that increases the risk of heart disease and stroke if uncontrolled.,Cardiovascular,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0032,Coronary Artery Disease,कोरोनरी धमनी रोग,કોરોનરી ધમની રોગ,I25,Non-Communicable Disease,"Narrowing of the arteries supplying the heart, which can lead to chest pain or heart attack.",Cardiovascular,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0033,Heart Attack (Myocardial Infarction),दिल का दौरा,હાર્ટ એટેક,I21,Non-Communicable Disease,"Sudden blockage of blood flow to part of the heart muscle, causing tissue damage — a medical emergency.",Cardiovascular,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0034,Stroke,लकवा (स्ट्रोक),લકવો (સ્ટ્રોક),I64,Non-Communicable Disease,"A sudden interruption of blood supply to the brain, causing weakness, speech difficulty, or loss of function — a medical emergency.",Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0035,Chronic Kidney Disease,दीर्घकालिक किडनी रोग,ક્રોનિક કિડની રોગ,N18,Non-Communicable Disease,"A gradual loss of kidney function over time, often linked to diabetes or high blood pressure.",Renal / Urinary,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0036,Obesity,मोटापा,સ્થૂળતા,E66,Non-Communicable Disease,"Excess body weight that increases the risk of diabetes, heart disease, and other conditions.",Metabolic,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0037,Chronic Obstructive Pulmonary Disease (COPD),सीओपीडी (फेफड़ों की दीर्घकालिक बीमारी),સીઓપીડી (ફેફસાંનો ક્રોનિક રોગ),J44,Non-Communicable Disease,"A long-term lung condition causing breathing difficulty, often linked to smoking or air pollution exposure.",Respiratory,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0038,Bronchial Asthma,दमा (अस्थमा),દમો (અસ્થમા),J45,Non-Communicable Disease,"A chronic condition causing airway inflammation and episodes of wheezing, breathlessness, and chest tightness.",Respiratory,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0039,Hypothyroidism,हाइपोथायरायडिज्म (थायराइड की कमी),હાઇપોથાઇરોડિઝમ,E03,Non-Communicable Disease,"An underactive thyroid gland leading to fatigue, weight gain, and cold intolerance.",Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0040,Hyperthyroidism,हाइपरथायरायडिज्म (थायराइड की अधिकता),હાઇપરથાઇરોડિઝમ,E05,Non-Communicable Disease,"An overactive thyroid gland leading to weight loss, rapid heartbeat, and heat intolerance.",Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0041,Osteoarthritis,ऑस्टियोआर्थराइटिस (जोड़ों की घिसावट),ઓસ્ટિયોઆર્થ્રાઇટિસ,M19,Non-Communicable Disease,"Wear-and-tear joint disease causing pain and stiffness, common with age.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0042,Rheumatoid Arthritis,रुमेटीइड गठिया,રુમેટોઇડ સંધિવા,M06,Non-Communicable Disease,"An autoimmune condition causing joint inflammation, pain, and swelling.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0043,Gout,गठिया (यूरिक एसिड),સંધિવા (યુરિક એસિડ),M10,Non-Communicable Disease,"A form of arthritis caused by excess uric acid, leading to sudden, severe joint pain, often in the big toe.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0044,Osteoporosis,ऑस्टियोपोरोसिस (हड्डियों का कमज़ोर होना),ઓસ્ટિયોપોરોસિસ,M81,Non-Communicable Disease,"Weakening of bones that increases the risk of fractures, more common in older adults.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0045,Fatty Liver Disease,फैटी लिवर,ફેટી લિવર,K76.0,Non-Communicable Disease,"Accumulation of excess fat in the liver, often linked to obesity and metabolic conditions.",Gastrointestinal / Hepatic,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0046,Peptic Ulcer Disease,पेट का अल्सर,પેટનું ચાંદું,K27,Non-Communicable Disease,"Sores that develop in the lining of the stomach or upper intestine, often causing burning abdominal pain.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0047,Gastroesophageal Reflux Disease (GERD),एसिड रिफ्लक्स रोग,એસિડ રિફ્લક્સ રોગ,K21,Non-Communicable Disease,"A chronic condition where stomach acid frequently flows back into the esophagus, causing heartburn.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0048,Irritable Bowel Syndrome (IBS),इरिटेबल बाउल सिंड्रोम,ઇરિટેબલ બાવલ સિન્ડ્રોમ,K58,Non-Communicable Disease,"A common digestive disorder causing abdominal pain, bloating, and altered bowel habits.",Gastrointestinal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0049,Migraine Disorder,माइग्रेन रोग,માઇગ્રેન રોગ,G43,Non-Communicable Disease,"A recurring headache disorder causing throbbing pain, often with nausea and light sensitivity.",Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0050,Epilepsy,मिर्गी,વાઈ (એપિલેપ્સી),G40,Non-Communicable Disease,A neurological condition characterized by recurrent seizures.,Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0051,Iron-Deficiency Anemia,आयरन की कमी से एनीमिया,આયર્નની ઉણપથી એનિમિયા,D50,Nutritional Deficiency,"A condition where low iron levels reduce the blood's ability to carry oxygen, very common in India especially among women and children.",Hematology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0052,Vitamin D Deficiency,विटामिन डी की कमी,વિટામિન ડીની ઉણપ,E55,Nutritional Deficiency,"Low levels of vitamin D, which can affect bone health and is common despite abundant sunlight due to limited sun exposure and diet.",Metabolic,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0053,Vitamin B12 Deficiency,विटामिन बी12 की कमी,વિટામિન બી12ની ઉણપ,E53.8,Nutritional Deficiency,"A deficiency common in vegetarian diets that can cause fatigue, weakness, and nerve-related symptoms.",Hematology / Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0054,Iodine Deficiency (Goiter),आयोडीन की कमी (गलगंड),આયોડિનની ઉણપ (ગોઇટર),E01,Nutritional Deficiency,Insufficient iodine intake leading to thyroid gland enlargement and other thyroid problems.,Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0055,Protein-Energy Malnutrition,प्रोटीन-ऊर्जा कुपोषण,પ્રોટીન-ઊર્જા કુપોષણ,E46,Nutritional Deficiency,"Inadequate intake of protein and calories, particularly affecting children's growth and development.",General / Pediatric,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0056,Calcium Deficiency,कैल्शियम की कमी,કેલ્શિયમની ઉણપ,E58,Nutritional Deficiency,Low calcium levels that can weaken bones and teeth over time.,Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0057,Vitamin A Deficiency,विटामिन ए की कमी,વિટામિન એની ઉણપ,E50,Nutritional Deficiency,"A deficiency that can affect vision and immune function, particularly in children.",Ophthalmology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0058,Thalassemia,थैलेसीमिया,થેલેસેમિયા,D56,Genetic / Blood Disorder,An inherited blood disorder causing reduced hemoglobin production; carrier rates are notably high in parts of India.,Hematology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0059,Sickle Cell Disease,सिकल सेल रोग,સિકલ સેલ રોગ,D57,Genetic / Blood Disorder,"An inherited blood disorder causing red blood cells to become sickle-shaped, common in certain tribal and regional populations in India.",Hematology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0060,G6PD Deficiency,जी6पीडी की कमी,જી6પીડીની ઉણપ,D55.0,Genetic / Blood Disorder,"An inherited enzyme deficiency that can cause red blood cell breakdown, sometimes triggered by certain foods or medicines.",Hematology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0061,Hemophilia,हीमोफीलिया,હિમોફિલિયા,D66,Genetic / Blood Disorder,"An inherited disorder that impairs the blood's ability to clot, leading to excessive bleeding.",Hematology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0062,Major Depressive Disorder,गंभीर अवसाद,મુખ્ય ડિપ્રેશન,F32,Mental Health,"A mood disorder causing persistent sadness, loss of interest, and reduced ability to function in daily life.",Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0063,Generalized Anxiety Disorder,सामान्यीकृत चिंता विकार,સામાન્યકૃત ચિંતા વિકાર,F41.1,Mental Health,"A condition involving excessive, persistent worry that is difficult to control and interferes with daily activities.",Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0064,Panic Disorder,पैनिक डिसऑर्डर,પેનિક ડિસઓર્ડર,F41.0,Mental Health,"A condition characterized by recurrent, unexpected panic attacks with intense physical and emotional symptoms.",Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0065,Bipolar Disorder,बाइपोलर डिसऑर्डर,બાયપોલર ડિસઓર્ડર,F31,Mental Health,A mental health condition marked by alternating episodes of depression and elevated (manic) mood.,Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0066,Obsessive-Compulsive Disorder (OCD),ऑब्सेसिव-कंपल्सिव डिसऑर्डर,ઓબ્સેસિવ-કમ્પલ્સિવ ડિસઓર્ડર,F42,Mental Health,"A condition involving intrusive, unwanted thoughts and repetitive behaviors performed to reduce distress.",Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0067,Post-Traumatic Stress Disorder (PTSD),पोस्ट-ट्रॉमेटिक स्ट्रेस डिसऑर्डर,પોસ્ટ-ટ્રોમેટિક સ્ટ્રેસ ડિસઓર્ડર,F43.1,Mental Health,"A condition that can develop after experiencing or witnessing a traumatic event, causing flashbacks and heightened anxiety.",Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0068,Schizophrenia,सिज़ोफ्रेनिया,સ્કિઝોફ્રેનિયા,F20,Mental Health,"A serious mental health condition affecting thinking, perception, and behavior, which may include hallucinations or delusions.",Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0069,Insomnia Disorder,अनिद्रा रोग,અનિદ્રા રોગ,G47.0,Mental Health,A persistent difficulty falling or staying asleep that affects daytime functioning.,Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0070,Alcohol Use Disorder,शराब की लत,દારૂનું વ્યસન,F10,Mental Health,A pattern of alcohol use that causes significant impairment or distress.,Mental Health,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0071,Polycystic Ovary Syndrome (PCOS),पॉलीसिस्टिक ओवरी सिंड्रोम (पीसीओएस),પોલિસિસ્ટિક ઓવરી સિન્ડ્રોમ (પીસીઓએસ),E28.2,Women's Health,"A hormonal disorder common in women of reproductive age, causing irregular periods and other symptoms; increasingly common in India.",Reproductive / Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0072,Endometriosis,एंडोमेट्रियोसिस,એન્ડોમેટ્રિઓસિસ,N80,Women's Health,"A condition where tissue similar to the uterine lining grows outside the uterus, often causing pelvic pain.",Reproductive,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0073,Uterine Fibroids,गर्भाशय में गांठ (फाइब्रॉएड),ગર્ભાશયમાં ગાંઠ (ફાઇબ્રોઇડ),D25,Women's Health,Non-cancerous growths in the uterus that can cause heavy periods or pelvic pressure.,Reproductive,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0074,Pelvic Inflammatory Disease,पेल्विक इंफ्लेमेटरी डिजीज,પેલ્વિક ઇન્ફ્લેમેટરી ડિસીઝ,N73,Women's Health,"An infection of the female reproductive organs, often linked to sexually transmitted infections.",Reproductive,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0075,Anemia in Pregnancy,गर्भावस्था में खून की कमी,ગર્ભાવસ્થામાં લોહીની ઉણપ,O99.0,Women's Health,"Reduced hemoglobin levels during pregnancy, a common concern in India requiring monitoring and supplementation.",Obstetric / Hematology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0076,Pre-eclampsia,प्री-एक्लेम्पसिया (गर्भावस्था में उच्च रक्तचाप),પ્રી-એક્લેમ્પસિયા,O14,Women's Health,"A pregnancy complication involving high blood pressure and organ effects, requiring close medical monitoring.",Obstetric / Cardiovascular,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0077,Gestational Diabetes,गर्भावस्था में मधुमेह,ગર્ભાવસ્થામાં ડાયાબિટીસ,O24.4,Women's Health,High blood sugar that develops during pregnancy and usually resolves after delivery.,Obstetric / Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0078,Cervical Cancer,गर्भाशय ग्रीवा का कैंसर,સર્વાઇકલ કેન્સર,C53,Women's Health,"A cancer of the cervix, often linked to HPV infection; screening can help with early detection.",Oncology / Reproductive,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0079,Breast Cancer,स्तन कैंसर,સ્તન કેન્સર,C50,Women's Health,A cancer that forms in breast tissue; early detection through screening improves outcomes.,Oncology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0080,Menopause-related Symptoms,रजोनिवृत्ति के लक्षण,રજોનિવૃત્તિના લક્ષણો,N95.1,Women's Health,"Hormonal changes around menopause causing hot flashes, mood changes, and other symptoms.",Reproductive / Endocrine,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0081,Benign Prostatic Hyperplasia (Enlarged Prostate),प्रोस्टेट का बढ़ना,પ્રોસ્ટેટ મોટું થવું,N40,Men's Health,"Non-cancerous enlargement of the prostate gland common in older men, causing urinary symptoms.",Urology / Male Reproductive,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0082,Prostate Cancer,प्रोस्टेट कैंसर,પ્રોસ્ટેટ કેન્સર,C61,Men's Health,"A cancer of the prostate gland, more common in older men; often slow-growing.",Oncology / Urology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0083,Erectile Dysfunction,स्तंभन दोष,ઉત્થાનની તકલીફ,N52,Men's Health,Persistent difficulty achieving or maintaining an erection sufficient for intercourse.,Male Reproductive,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0084,Testicular Torsion,अंडकोष का मुड़ जाना,અંડકોષનું વળી જવું,N44.0,Men's Health,"A surgical emergency where the testicle twists, cutting off blood supply, causing sudden severe pain and swelling.",Male Reproductive / Emergency,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0085,Acute Diarrheal Disease in Children,बच्चों में तीव्र दस्त रोग,બાળકોમાં તીવ્ર ઝાડા,A09,Pediatric,"A common childhood illness causing frequent loose stools, with risk of dehydration if not managed.",Gastrointestinal / Pediatric,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0086,Acute Respiratory Infection in Children,बच्चों में तीव्र श्वसन संक्रमण,બાળકોમાં તીવ્ર શ્વસન ચેપ,J06,Pediatric,"Common cold-like or lower respiratory infections in children, a leading cause of pediatric illness.",Respiratory / Pediatric,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0087,Febrile Seizures,बुखार के दौरे,તાવના હુમલા,R56.0,Pediatric,"Seizures triggered by fever in young children, usually not linked to a chronic seizure disorder.",Neurology / Pediatric,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0088,Childhood Malnutrition (Stunting/Wasting),बच्चों में कुपोषण,બાળકોમાં કુપોષણ,E45,Pediatric,"Impaired growth and development in children due to inadequate nutrition, a significant public health issue in parts of India.",Pediatric / Metabolic,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0089,Measles-related Complications,खसरे से जटिलताएं,ઓરીથી જટિલતાઓ,B05.9,Pediatric,"Complications such as pneumonia or ear infection that can follow a measles infection, especially in unvaccinated children.",Infectious / Pediatric,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0090,Rickets,रिकेट्स (हड्डियों का रोग),રિકેટ્સ,E55.0,Pediatric,A childhood bone-development disorder caused by vitamin D or calcium deficiency.,Musculoskeletal / Pediatric,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0091,Eczema (Atopic Dermatitis),एक्ज़िमा,ખરજવું,L20,Dermatology,"A chronic skin condition causing itchy, inflamed patches, often linked to allergies.",Dermatology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0092,Psoriasis,सोरायसिस,સોરાયસિસ,L40,Dermatology,"A chronic autoimmune skin condition causing thick, scaly, red patches.",Dermatology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0093,Vitiligo,सफेद दाग (विटिलिगो),સફેદ ડાઘ (વિટિલિગો),L80,Dermatology,"A condition causing loss of skin pigment in patches, resulting in white areas of skin.",Dermatology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0094,Cataract,मोतियाबिंद,મોતિયો,H25,Ophthalmology,"Clouding of the eye's lens that gradually impairs vision, common with aging.",Ophthalmology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0095,Glaucoma,ग्लूकोमा (काला मोतिया),ગ્લુકોમા,H40,Ophthalmology,"A group of eye conditions that damage the optic nerve, often related to increased eye pressure, which can lead to vision loss if untreated.",Ophthalmology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0096,Refractive Error (Myopia/Hyperopia),अपवर्तक त्रुटि (चश्मे का नंबर),રિફ્રેક્ટિવ એરર (ચશ્માનો નંબર),H52,Ophthalmology,Vision problems such as near- or far-sightedness that are correctable with glasses or lenses.,Ophthalmology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0097,Otitis Media (Middle Ear Infection),मध्य कान का संक्रमण,મધ્ય કાનનો ચેપ,H66,ENT,"An infection of the middle ear, common in children, causing ear pain and sometimes fever.",ENT,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0098,Sinusitis,साइनसाइटिस,સાઇનસાઇટિસ,J32,ENT,"Inflammation of the sinuses causing facial pain, congestion, and thick nasal discharge.",ENT,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0099,Allergic Rhinitis,एलर्जिक राइनाइटिस (एलर्जी से जुकाम),એલર્જિક રાઇનાઇટિસ,J30,ENT,"An allergic reaction causing sneezing, nasal congestion, and itchy eyes, often seasonal.",ENT,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0100,Lower Back Pain (Lumbar Strain),कमर दर्द (लम्बर स्ट्रेन),કમરનો દુખાવો (લમ્બર સ્ટ્રેન),M54.5,Musculoskeletal,"Stretching or minor injury to the muscles or ligaments of the lower back, a very common cause of back pain.",Musculoskeletal,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0101,Tension-Type Headache,तनाव सिरदर्द,ટેન્શન માથાનો દુખાવો,G44.2,Non-Communicable Disease,"The most common type of headache, causing a dull, band-like pressure or ache, often related to stress or muscle tension.",Neurology,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0102,Kidney Stones (Nephrolithiasis),गुर्दे की पथरी,પથરી (કિડની સ્ટોન),N20.0,Renal / Urological,"Hard mineral and salt deposits forming inside the kidneys, causing severe flank pain and hematuria.",Renal / Urinary,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
